"time","y_0","y_1","y_2"
2.72,-3.1788689309509988E+002,5.9137040000002781E+000,3.5522722000000229E+001
2.73,-3.0558697587808132E+002,5.5254000000002730E+000,3.4861338000000231E+001
2.74,-2.9337703074011318E+002,5.5254000000002730E+000,3.4861338000000231E+001
2.75,-2.8126960610450453E+002,5.1528060000002700E+000,3.4861338000000231E+001
2.76,-2.6927723552136740E+002,5.1528060000002700E+000,3.4861338000000231E+001
2.77,-2.5741217812233720E+002,4.7954170000002616E+000,3.4251023000000224E+001
2.78,-2.4568669566313747E+002,4.7954170000002616E+000,3.4251023000000224E+001
2.79,-2.3411276755607435E+002,4.4526960000002589E+000,3.4251023000000224E+001
2.8,-2.2270225476476654E+002,4.4526960000002589E+000,3.4251023000000224E+001
2.81,-2.1146685355288122E+002,4.1240750000002535E+000,3.3687567000000215E+001
2.82,-2.0041797273915145E+002,4.1240750000002535E+000,3.3687567000000215E+001
2.83,-1.8956691890342310E+002,3.8089510000002491E+000,3.3687567000000215E+001
2.84,-1.7892471540127423E+002,3.8089510000002491E+000,3.3687567000000215E+001
2.85,-1.6850222157724488E+002,3.5066970000002442E+000,3.3166250000000204E+001
2.86,-1.5830999155662795E+002,3.5066970000002442E+000,3.3166250000000204E+001
2.87,-1.4835836021293650E+002,3.2166510000002422E+000,3.3166250000000204E+001
2.88,-1.3865745782164353E+002,3.2166510000002422E+000,3.3166250000000204E+001
2.89,-1.2921705453507198E+002,2.9381293000002380E+000,3.2681879300000205E+001
2.9,-1.2004673536304261E+002,2.9381293000002380E+000,3.2681879300000205E+001
2.91,-1.1115575563553307E+002,2.6704224000002359E+000,3.2681879300000205E+001
2.92,-1.0255309506841236E+002,2.6704224000002359E+000,3.2681879300000205E+001
2.93,-9.4247438299354982E+001,2.4127968000002333E+000,3.2228847800000203E+001
2.94,-8.6247143036519574E+001,2.4127968000002333E+000,3.2228847800000203E+001
2.95,-7.8560277704759500E+001,2.1644945000002309E+000,3.2228847800000203E+001
2.96,-7.1194584574722640E+001,2.1644945000002309E+000,3.2228847800000203E+001
2.97,-6.4157467129727166E+001,1.9247422000002263E+000,3.1801167200000201E+001
2.98,-5.7456002570734825E+001,1.9247422000002263E+000,3.1801167200000201E+001
2.99,-5.1096923945671463E+001,1.6927444000002243E+000,3.1801167200000201E+001
3,-4.5086618056850511E+001,1.6927444000002243E+000,3.1801167200000201E+001
3.01,-3.9431117595334918E+001,1.4676904000002242E+000,3.1392540400000200E+001
3.02,-3.4136094685618289E+001,1.4676904000002242E+000,3.1392540400000200E+001
3.03,-2.9206861128163474E+001,1.2487543000002228E+000,3.1392540400000200E+001
3.04,-2.4648356279618380E+001,1.2487543000002228E+000,3.1392540400000200E+001
3.05,-2.0465148579286506E+001,1.0350967000002207E+000,3.0996400700000205E+001
3.06,-1.6661428305655743E+001,1.0350967000002207E+000,3.0996400700000205E+001
3.07,-1.3241003840763154E+001,8.2586730000022213E-001,3.0996400700000205E+001
3.08,-1.0207299621032085E+001,8.2586730000022213E-001,3.0996400700000205E+001
3.09,-7.5633512377687317E+000,6.2020600000022297E-001,3.0605981000000213E+001
3.1,-5.3118047144708678E+000,6.2020600000022297E-001,3.0605981000000213E+001
3.11,-3.4549124650897913E+000,4.1724500000022480E-001,3.0605981000000213E+001
3.12,-1.9945316005142599E+000,4.1724500000022480E-001,3.0605981000000213E+001
3.13,-9.3212313291171411E-001,2.1611110000022760E-001,3.0214363100000224E+001
3.14,-2.6874913635366976E-001,2.1611110000022760E-001,3.0214363100000224E+001
