"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
1.341,2.9469690833906386E+000,4.9469690833906386E+000,1.4469690833906388E+000,1.6549237208820431E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.5052267201754543E+000
1.361,2.9557292048706323E+000,4.9557292048706323E+000,1.4557292048706325E+000,1.6623698241400375E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.6193082098640792E+000
1.381,2.9637070607447198E+000,4.9637070607447198E+000,1.4637070607447196E+000,1.6691510016330118E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.7191059435530058E+000
1.401,2.9708994599769207E+000,4.9708994599769207E+000,1.4708994599769205E+000,1.6752645409803826E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8042260651806141E+000
1.421,2.9773035257034395E+000,4.9773035257034390E+000,1.4773035257034395E+000,1.6807079968479235E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8743326445145239E+000
1.441,2.9829166963833726E+000,4.9829166963833726E+000,1.4829166963833729E+000,1.6854791919258669E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9291490029147549E+000
1.461,2.9877367268232895E+000,4.9877367268232895E+000,1.4877367268232897E+000,1.6895762177997962E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9684588052579111E+000
1.481,2.9917616890752798E+000,4.9917616890752798E+000,1.4917616890752801E+000,1.6929974357139881E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9921069137130862E+000
1.501,2.9949899732081091E+000,4.9949899732081091E+000,1.4949899732081089E+000,1.6957414772268926E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-4.0000000000000000E+000
1.521,2.9974202879511660E+000,4.9974202879511660E+000,1.4974202879511660E+000,1.6978072447584911E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9921069137130862E+000
