"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.87,-4.8082313474847142E-012,1.4695486455110052E+001,1.4695496153539519E+001,8.6000000002572619E+001,8.6000000003269534E+001,-4.1586362694805674E-015,1.7882155459554752E-013
0.88,-4.7862678908102992E-012,1.4695486455125339E+001,1.4695496153559796E+001,8.6000000002572889E+001,8.6000000003270287E+001,-4.1586362694848888E-015,1.7882155459578870E-013
0.89,-4.7647767630438736E-012,1.4695486455140625E+001,1.4695496153580081E+001,8.6000000002573159E+001,8.6000000003271012E+001,-4.1586362694892133E-015,1.7882155459603021E-013
0.9,-4.7437803094385242E-012,1.4695486455155910E+001,1.4695496153600368E+001,8.6000000002573444E+001,8.6000000003271737E+001,-4.1586362694935370E-015,1.7674224150548029E-013
0.91,-4.7232911715952188E-012,1.4695486455171197E+001,1.4695496153620661E+001,8.6000000002573714E+001,8.6000000003272461E+001,-4.1586362694978616E-015,1.7674224150571937E-013
0.92,-4.7032575577928852E-012,1.4695486455186485E+001,1.4695496153640958E+001,8.6000000002573955E+001,8.6000000003273172E+001,-4.1586362695021853E-015,1.7674222867354619E-013
0.93,-4.6836635551472342E-012,1.4695486455201774E+001,1.4695496153661258E+001,8.6000000002574197E+001,8.6000000003273882E+001,-4.1586362695065099E-015,1.7882156742941005E-013
0.94,-4.6645216640609510E-012,1.4695486455217063E+001,1.4695496153681562E+001,8.6000000002574438E+001,8.6000000003274579E+001,-4.1586362695108360E-015,1.7882156742965241E-013
0.95,-4.6458307627880098E-012,1.4695486455232352E+001,1.4695496153701873E+001,8.6000000002574666E+001,8.6000000003275275E+001,-4.1586362695151605E-015,1.7674224150667704E-013
0.96,-4.6276023148261356E-012,1.4695486455247643E+001,1.4695496153722184E+001,8.6000000002574879E+001,8.6000000003275971E+001,-4.1586362695194866E-015,1.7882156743013754E-013
0.97,-4.6098605990816327E-012,1.4695486455262934E+001,1.4695496153742502E+001,8.6000000002575106E+001,8.6000000003276668E+001,-4.1586362695238120E-015,1.7674224150715684E-013
0.98,-4.5926131271565462E-012,1.4695486455278227E+001,1.4695496153762820E+001,8.6000000002575334E+001,8.6000000003277350E+001,-4.1586362695281373E-015,1.7882156743062333E-013
0.99,-4.5758184657065750E-012,1.4695486455293519E+001,1.4695496153783143E+001,8.6000000002575547E+001,8.6000000003278018E+001,-4.1586362695324642E-015,1.7882156743086645E-013
1,-4.5593987460741728E-012,1.4695486455308814E+001,1.4695496153803468E+001,8.6000000002575760E+001,8.6000000003278672E+001,-4.1586362695367895E-015,1.7882156743110965E-013
1.01,-4.5434380315685237E-012,1.4695486455324108E+001,1.4695496153823797E+001,8.6000000002575973E+001,8.6000000003279311E+001,-4.1586362695411148E-015,1.8044319814986033E-013
1.02,-4.5278663061009478E-012,1.4695486455339402E+001,1.4695496153844131E+001,8.6000000002576172E+001,8.6000000003279936E+001,-4.1586362695454425E-015,1.7882156743159652E-013
1.03,-4.5127570988291398E-012,1.4695486455354699E+001,1.4695496153864468E+001,8.6000000002576371E+001,8.6000000003280547E+001,-4.1586362695497694E-015,1.8044319814986030E-013
1.04,-4.4980854138930053E-012,1.4695486455369997E+001,1.4695496153884807E+001,8.6000000002576584E+001,8.6000000003281158E+001,-4.1586362695540971E-015,1.7882155459967166E-013
1.05,-4.4837639186611721E-012,1.4695486455385296E+001,1.4695496153905152E+001,8.6000000002576797E+001,8.6000000003281741E+001,-4.1586362695584248E-015,1.7882155459991562E-013
1.06,-4.4698404797412936E-012,1.4695486455400596E+001,1.4695496153925500E+001,8.6000000002576996E+001,8.6000000003282352E+001,-4.1586362695627533E-015,1.7674224150932291E-013
1.07,-4.4563266922720271E-012,1.4695486455415896E+001,1.4695496153945850E+001,8.6000000002577181E+001,8.6000000003282921E+001,-4.1586362695670818E-015,1.7882155460040383E-013
1.08,-4.4432284424170873E-012,1.4695486455431196E+001,1.4695496153966202E+001,8.6000000002577366E+001,8.6000000003283489E+001,-4.1586362695714102E-015,1.7674224150980565E-013
1.09,-4.4304797027070101E-012,1.4695486455446497E+001,1.4695496153986552E+001,8.6000000002577551E+001,8.6000000003284029E+001,-4.1586362695757387E-015,1.7882155460089231E-013
1.1,-4.4180795315595324E-012,1.4695486455461799E+001,1.4695496154006905E+001,8.6000000002577735E+001,8.6000000003284583E+001,-4.1586362695800680E-015,1.7882155460113685E-013
1.11,-4.4060351430042311E-012,1.4695486455477102E+001,1.4695496154027264E+001,8.6000000002577906E+001,8.6000000003285095E+001,-4.1586491019882561E-015,1.7674222867811825E-013
1.12,-4.3942745532774804E-012,1.4695486455492409E+001,1.4695496154047625E+001,8.6000000002578105E+001,8.6000000003285635E+001,-4.1586362695887265E-015,1.7674224151077237E-013
1.13,-4.3828789829270930E-012,1.4695486455507712E+001,1.4695496154067987E+001,8.6000000002578275E+001,8.6000000003286132E+001,-4.1586362695930558E-015,1.7882155460187101E-013
1.14,-4.3718375058859550E-012,1.4695486455523017E+001,1.4695496154088353E+001,8.6000000002578460E+001,8.6000000003286630E+001,-4.1586362695973859E-015,1.7882155460211587E-013
1.15,-4.3610619264274810E-012,1.4695486455538322E+001,1.4695496154108721E+001,8.6000000002578645E+001,8.6000000003287127E+001,-4.1586362696017159E-015,1.7882155460236086E-013
1.16,-4.3505958039569498E-012,1.4695486455553628E+001,1.4695496154129087E+001,8.6000000002578815E+001,8.6000000003287596E+001,-4.1586362696060452E-015,1.7882155460260592E-013
1.17,-4.3404373923030781E-012,1.4695486455568933E+001,1.4695496154149454E+001,8.6000000002578986E+001,8.6000000003288065E+001,-4.1586362696103752E-015,1.7882155460285109E-013
1.18,-4.3305644193511874E-012,1.4695486455584239E+001,1.4695496154169826E+001,8.6000000002579156E+001,8.6000000003288505E+001,-4.1586362696147053E-015,1.7882155460309635E-013
1.19,-4.3209650741768793E-012,1.4695486455599546E+001,1.4695496154190199E+001,8.6000000002579313E+001,8.6000000003288932E+001,-4.1586491020228942E-015,1.7882155460334170E-013
