"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
49,7.1903438011635445E-001,1.0000000000000000E+000,9.9999994328179087E-001,3.9281586725854147E+001,4.5000000000000001E-001,4.4999669175115348E-001,4.5164724566485084E+001,3.0000000000000000E+001,3.0000000038840419E+001,2.5001469905172140E+001,3.0000000000000000E+000,2.9999994825173495E+000,1.0000000000000000E+003,4.0000000000000000E+001
50,7.1903393763201062E-001,1.0000000000000000E+000,9.9999995149327481E-001,3.9281158286440025E+001,4.5000000000000001E-001,4.4999600074483331E-001,4.5164728487578650E+001,3.0000000000000000E+001,3.0000000038887244E+001,2.5001467293032679E+001,3.0000000000000000E+000,2.9999996516984933E+000,1.0000000000000000E+003,4.0000000000000000E+001
51,1.0000000000000000E+000,9.4999999999999996E-001,9.8358740742382123E-001,3.9125366588710449E+001,4.5000000000000001E-001,4.4952828238464010E-001,5.2149077628716491E+001,3.0000000000000000E+001,3.0025540910503818E+001,2.9550111628015706E+001,3.0000000000000000E+000,3.2723369894982617E+000,1.0000000000000000E+003,4.0000000000000000E+001
52,1.0000000000000000E+000,9.4999999999999996E-001,9.6924488380605323E-001,3.9011132843963118E+001,4.5000000000000001E-001,4.4927061573639199E-001,5.2055364743680364E+001,3.0000000000000000E+001,3.0008791053565773E+001,3.1466545654997006E+001,3.0000000000000000E+000,3.2110492644416437E+000,1.0000000000000000E+003,4.0000000000000000E+001
53,1.0000000000000000E+000,9.4999999999999996E-001,9.5669941146331883E-001,3.8932351390528957E+001,4.5000000000000001E-001,4.4916643435439746E-001,5.1950362160586671E+001,3.0000000000000000E+001,3.0002568921694170E+001,3.2057657826441137E+001,3.0000000000000000E+000,3.1111734349102314E+000,1.0000000000000000E+003,4.0000000000000000E+001
54,9.5488723353785532E-001,9.4999999999999996E-001,9.4624150556786280E-001,3.8888025254811929E+001,4.5000000000000001E-001,4.4918613884916148E-001,5.0865916413719951E+001,3.0000000000000000E+001,2.9992183629936431E+001,3.2026701150472178E+001,3.0000000000000000E+000,3.0336824494903047E+000,1.0000000000000000E+003,4.0000000000000000E+001
55,8.5065442071707820E-001,9.4999999999999996E-001,9.4217386349599164E-001,3.8915856222292646E+001,4.5000000000000001E-001,4.4942127839773421E-001,4.8329267767550860E+001,3.0000000000000000E+001,2.9981309370202638E+001,3.0605975962309877E+001,3.0000000000000000E+000,2.9170718218838978E+000,1.0000000000000000E+003,4.0000000000000000E+001
56,7.8715205120131870E-001,9.4999999999999996E-001,9.4336017259876104E-001,3.8992890340826264E+001,4.5000000000000001E-001,4.4976030089999958E-001,4.6643377770941044E+001,3.0000000000000000E+001,2.9983084516438428E+001,2.8707741112563426E+001,3.0000000000000000E+000,2.8499366293046666E+000,1.0000000000000000E+003,4.0000000000000000E+001
57,7.6921818506418260E-001,9.4999999999999996E-001,9.4662699379670245E-001,3.9078575477964428E+001,4.5000000000000001E-001,4.5006220333336194E-001,4.6152274270715992E+001,3.0000000000000000E+001,2.9991238315962942E+001,2.7251073845116736E+001,3.0000000000000000E+000,2.8565924412986541E+000,1.0000000000000000E+003,4.0000000000000000E+001
58,7.8081714177820027E-001,9.4999999999999996E-001,9.4958900020474113E-001,3.9146101426619211E+001,4.5000000000000001E-001,4.5025363805842439E-001,4.6487987510615078E+001,3.0000000000000000E+001,2.9999166651767268E+001,2.6642534519865624E+001,3.0000000000000000E+000,2.9133149121150370E+000,1.0000000000000000E+003,4.0000000000000000E+001
59,8.0209246561874215E-001,9.4999999999999996E-001,9.5119919262622243E-001,3.9186578959273497E+001,4.5000000000000001E-001,4.5032861133919427E-001,4.7079606831851258E+001,3.0000000000000000E+001,3.0003438196794150E+001,2.6780754602006155E+001,3.0000000000000000E+000,2.9797750628839488E+000,1.0000000000000000E+003,4.0000000000000000E+001
60,8.1942731850636752E-001,9.4999999999999996E-001,9.5149565130335567E-001,3.9203952893636334E+001,4.5000000000000001E-001,4.5032058994476365E-001,4.7547430237771337E+001,3.0000000000000000E+001,3.0004104333295487E+001,2.7269514220078811E+001,3.0000000000000000E+000,3.0241193222654461E+000,1.0000000000000000E+003,4.0000000000000000E+001
61,8.2779888622677433E-001,9.4999999999999996E-001,9.5103241424392682E-001,3.9207304431390561E+001,4.5000000000000001E-001,4.5027214052222653E-001,4.7768056741872748E+001,3.0000000000000000E+001,3.0002778221996678E+001,2.7734094927647014E+001,3.0000000000000000E+000,3.0374343316384471E+000,1.0000000000000000E+003,4.0000000000000000E+001
62,8.2842447893241444E-001,9.4999999999999996E-001,9.5038844174024395E-001,3.9204997135631515E+001,4.5000000000000001E-001,4.5021571591025000E-001,4.7782622552317633E+001,3.0000000000000000E+001,3.0001032703765031E+001,2.7997456133467892E+001,3.0000000000000000E+000,3.0292557229877022E+000,1.0000000000000000E+003,4.0000000000000000E+001
63,8.2502966028306857E-001,9.4999999999999996E-001,9.4991768852131420E-001,3.9202057096236643E+001,4.5000000000000001E-001,4.5016776672234560E-001,4.7691549124266800E+001,3.0000000000000000E+001,2.9999776402957682E+001,2.8059183363480130E+001,3.0000000000000000E+000,3.0138028821743204E+000,1.0000000000000000E+003,4.0000000000000000E+001
64,8.2105445347065154E-001,9.4999999999999996E-001,9.4972210400919699E-001,3.9200237342276203E+001,4.5000000000000001E-001,4.5013191861319957E-001,4.7585530978847416E+001,3.0000000000000000E+001,2.9999257464824069E+001,2.8000009221872240E+001,3.0000000000000000E+000,3.0009600311908091E+000,1.0000000000000000E+003,4.0000000000000000E+001
65,8.1840947204555181E-001,9.4999999999999996E-001,9.4973928030149235E-001,3.9199290982151894E+001,4.5000000000000001E-001,4.5010516429807684E-001,4.7515165566235908E+001,3.0000000000000000E+001,2.9999305359555571E+001,2.7906293889523184E+001,3.0000000000000000E+000,2.9944165687920643E+000,1.0000000000000000E+003,4.0000000000000000E+001
66,8.1748356113632992E-001,9.4999999999999996E-001,9.4985360836552224E-001,3.9198356376590361E+001,4.5000000000000001E-001,4.5008325720332454E-001,4.7490814805991178E+001,3.0000000000000000E+001,2.9999612061647948E+001,2.7833043986899277E+001,3.0000000000000000E+000,2.9935029578888139E+000,1.0000000000000000E+003,4.0000000000000000E+001
67,8.1777137563194857E-001,9.4999999999999996E-001,9.4996864723620977E-001,3.9196797397551691E+001,4.5000000000000001E-001,4.5006341585603538E-001,4.7498854089777282E+001,3.0000000000000000E+001,2.9999919552010820E+001,2.7799410236024087E+001,3.0000000000000000E+000,2.9956867889348806E+000,1.0000000000000000E+003,4.0000000000000000E+001
68,8.1853278788645323E-001,9.4999999999999996E-001,9.5003740153792582E-001,3.9194492858539896E+001,4.5000000000000001E-001,4.5004492412839886E-001,4.7519380462339953E+001,3.0000000000000000E+001,3.0000102209742007E+001,2.7798717741899367E+001,3.0000000000000000E+000,2.9984994506004363E+000,1.0000000000000000E+003,4.0000000000000000E+001
69,8.1921680321285162E-001,9.4999999999999996E-001,9.5005574947098725E-001,3.9191714135374944E+001,4.5000000000000001E-001,4.5002837084286723E-001,4.7537671209358372E+001,3.0000000000000000E+001,3.0000149818398810E+001,2.7814401380197697E+001,3.0000000000000000E+000,3.0004817488705395E+000,1.0000000000000000E+003,4.0000000000000000E+001
70,8.1958552791057482E-001,9.4999999999999996E-001,9.5004207456487499E-001,3.9188875355006630E+001,4.5000000000000001E-001,4.5001465691207521E-001,4.7547452948377838E+001,3.0000000000000000E+001,3.0000112271057610E+001,2.7831700405327172E+001,3.0000000000000000E+000,3.0012531052415796E+000,1.0000000000000000E+003,4.0000000000000000E+001
71,8.1965195621048237E-001,9.4999999999999996E-001,9.5001841562331690E-001,3.9186327727540601E+001,4.5000000000000001E-001,4.5000431788415513E-001,4.7549150562868910E+001,3.0000000000000000E+001,3.0000048667853143E+001,2.7842765130790880E+001,3.0000000000000000E+000,3.0011241523630265E+000,1.0000000000000000E+003,4.0000000000000000E+001
