"time","V","X"
1.759,-6.0030728732740568E-001,1.3274097241466365E+000
1.76,-6.0071980884456744E-001,1.3268094168593092E+000
1.761,-6.0113301566829569E-001,1.3262086970504647E+000
1.762,-6.0154690942414279E-001,1.3256075640347964E+000
1.763,-6.0196149174239011E-001,1.3250060171253724E+000
1.764,-6.0237676425806397E-001,1.3244040556336301E+000
1.765,-6.0279272861095190E-001,1.3238016788693721E+000
1.766,-6.0320938644561872E-001,1.3231988861407611E+000
1.767,-6.0362673941142309E-001,1.3225956767543154E+000
1.768,-6.0404478916253368E-001,1.3219920500149041E+000
1.769,-6.0446353735794545E-001,1.3213880052257416E+000
1.77,-6.0488298566149656E-001,1.3207835416883837E+000
1.771,-6.0530313574188455E-001,1.3201786587027222E+000
1.772,-6.0572398927268301E-001,1.3195733555669804E+000
1.773,-6.0614554793235831E-001,1.3189676315777077E+000
1.774,-6.0656781340428634E-001,1.3183614860297754E+000
1.775,-6.0699078737676904E-001,1.3177549182163713E+000
1.776,-6.0741447154305162E-001,1.3171479274289946E+000
1.777,-6.0783886760133909E-001,1.3165405129574517E+000
1.778,-6.0826397725481374E-001,1.3159326740898505E+000
1.779,-6.0868980221165148E-001,1.3153244101125958E+000
1.78,-6.0911634418503957E-001,1.3147157203103843E+000
1.781,-6.0954360489319348E-001,1.3141066039661993E+000
1.782,-6.0997158605937418E-001,1.3134970603613061E+000
1.783,-6.1040028941190527E-001,1.3128870887752468E+000
1.784,-6.1082971668419050E-001,1.3122766884858350E+000
1.785,-6.1125986961473133E-001,1.3116658587691510E+000
1.786,-6.1169074994714401E-001,1.3110545988995363E+000
1.787,-6.1212235943017745E-001,1.3104429081495892E+000
1.788,-6.1255469981773070E-001,1.3098307857901590E+000
1.789,-6.1298777286887063E-001,1.3092182310903413E+000
1.79,-6.1342158034784977E-001,1.3086052433174724E+000
1.791,-6.1385612402412393E-001,1.3079918217371247E+000
1.792,-6.1429140567237028E-001,1.3073779656131006E+000
1.793,-6.1472742707250516E-001,1.3067636742074282E+000
1.794,-6.1516419000970213E-001,1.3061489467803558E+000
1.795,-6.1560169627441008E-001,1.3055337825903461E+000
1.796,-6.1603994766237125E-001,1.3049181808940717E+000
1.797,-6.1647894597463959E-001,1.3043021409464095E+000
1.798,-6.1691869301759883E-001,1.3036856620004349E+000
1.799,-6.1735919060298117E-001,1.3030687433074173E+000
1.8,-6.1780044054788530E-001,1.3024513841168144E+000
1.801,-6.1824244467479517E-001,1.3018335836762667E+000
1.802,-6.1868520481159839E-001,1.3012153412315919E+000
1.803,-6.1912872279160491E-001,1.3005966560267803E+000
1.804,-6.1957300045356578E-001,1.2999775273039889E+000
1.805,-6.2001803964169167E-001,1.2993579543035354E+000
1.806,-6.2046384220567186E-001,1.2987379362638938E+000
1.807,-6.2091041000069325E-001,1.2981174724216882E+000
1.808,-6.2135774488745910E-001,1.2974965620116876E+000
1.809,-6.2180584873220834E-001,1.2968752042668001E+000
1.81,-6.2225472340673438E-001,1.2962533984180680E+000
1.811,-6.2270437078840446E-001,1.2956311436946613E+000
1.812,-6.2315479276017893E-001,1.2950084393238730E+000
1.813,-6.2360599121063054E-001,1.2943852845311128E+000
1.814,-6.2405796803396385E-001,1.2937616785399022E+000
1.815,-6.2451072513003447E-001,1.2931376205718683E+000
1.816,-6.2496426440436914E-001,1.2925131098467384E+000
1.817,-6.2541858776818482E-001,1.2918881455823341E+000
1.818,-6.2587369713840857E-001,1.2912627269945660E+000
1.819,-6.2632959443769753E-001,1.2906368532974277E+000
1.82,-6.2678628159445837E-001,1.2900105237029902E+000
1.821,-6.2724376054286735E-001,1.2893837374213959E+000
1.822,-6.2770203322289053E-001,1.2887564936608531E+000
1.823,-6.2816110158030358E-001,1.2881287916276303E+000
1.824,-6.2862096756671193E-001,1.2875006305260501E+000
1.825,-6.2908163313957111E-001,1.2868720095584836E+000
1.826,-6.2954310026220694E-001,1.2862429279253440E+000
1.827,-6.3000537090383590E-001,1.2856133848250819E+000
1.828,-6.3046844703958560E-001,1.2849833794541781E+000
1.829,-6.3093233065051546E-001,1.2843529110071386E+000
1.83,-6.3139702372363693E-001,1.2837219786764882E+000
1.831,-6.3186252825193434E-001,1.2830905816527647E+000
1.832,-6.3232884623438590E-001,1.2824587191245129E+000
1.833,-6.3279597967598411E-001,1.2818263902782787E+000
1.834,-6.3326393058775698E-001,1.2811935942986028E+000
1.835,-6.3373270098678880E-001,1.2805603303680151E+000
1.836,-6.3420229289624142E-001,1.2799265976670284E+000
1.837,-6.3467270834537515E-001,1.2792923953741322E+000
1.838,-6.3514394936957019E-001,1.2786577226657869E+000
1.839,-6.3561601801034773E-001,1.2780225787164174E+000
1.84,-6.3608891631539144E-001,1.2773869626984071E+000
1.841,-6.3656264633856907E-001,1.2767508737820918E+000
1.842,-6.3703721013995385E-001,1.2761143111357534E+000
1.843,-6.3751260978584590E-001,1.2754772739256135E+000
1.844,-6.3798884734879435E-001,1.2748397613158278E+000
1.845,-6.3846592490761878E-001,1.2742017724684791E+000
1.846,-6.3894384454743136E-001,1.2735633065435716E+000
1.847,-6.3942260835965858E-001,1.2729243626990243E+000
1.848,-6.3990221844206352E-001,1.2722849400906646E+000
1.849,-6.4038267689876760E-001,1.2716450378722226E+000
1.85,-6.4086398584027304E-001,1.2710046551953240E+000
1.851,-6.4134614738348517E-001,1.2703637912094838E+000
1.852,-6.4182916365173470E-001,1.2697224450621005E+000
1.853,-6.4231303677480023E-001,1.2690806158984489E+000
1.854,-6.4279776888893059E-001,1.2684383028616741E+000
1.855,-6.4328336213686776E-001,1.2677955050927854E+000
1.856,-6.4376981866786931E-001,1.2671522217306486E+000
1.857,-6.4425714063773132E-001,1.2665084519119807E+000
1.858,-6.4474533020881131E-001,1.2658641947713429E+000
1.859,-6.4523438955005108E-001,1.2652194494411342E+000
1.86,-6.4572432083699982E-001,1.2645742150515842E+000
1.861,-6.4621512625183719E-001,1.2639284907307473E+000
1.862,-6.4670680798339664E-001,1.2632822756044955E+000
1.863,-6.4719936822718849E-001,1.2626355687965121E+000
1.864,-6.4769280918542371E-001,1.2619883694282850E+000
1.865,-6.4818713306703712E-001,1.2613406766190995E+000
1.866,-6.4868234208771092E-001,1.2606924894860325E+000
1.867,-6.4917843846989853E-001,1.2600438071439448E+000
1.868,-6.4967542444284831E-001,1.2593946287054749E+000
1.869,-6.5017330224262737E-001,1.2587449532810322E+000
1.87,-6.5067207411214545E-001,1.2580947799787896E+000
1.871,-6.5117174230117891E-001,1.2574441079046774E+000
1.872,-6.5167230906639506E-001,1.2567929361623764E+000
1.873,-6.5217377667137610E-001,1.2561412638533100E+000
1.874,-6.5267614738664359E-001,1.2554890900766387E+000
1.875,-6.5317942348968272E-001,1.2548364139292520E+000
1.876,-6.5368360726496688E-001,1.2541832345057624E+000
1.877,-6.5418870100398230E-001,1.2535295508984976E+000
1.878,-6.5469470700525234E-001,1.2528753621974937E+000
1.879,-6.5520162757436273E-001,1.2522206674904885E+000
1.88,-6.5570946502398608E-001,1.2515654658629143E+000
1.881,-6.5621822167390698E-001,1.2509097563978904E+000
1.882,-6.5672789985104696E-001,1.2502535381762165E+000
1.883,-6.5723850188948962E-001,1.2495968102763655E+000
1.884,-6.5775003013050604E-001,1.2489395717744760E+000
1.885,-6.5826248692257971E-001,1.2482818217443457E+000
1.886,-6.5877587462143239E-001,1.2476235592574232E+000
1.887,-6.5929019559004931E-001,1.2469647833828019E+000
1.888,-6.5980545219870479E-001,1.2463054931872120E+000
1.889,-6.6032164682498828E-001,1.2456456877350133E+000
1.89,-6.6083878185382972E-001,1.2449853660881884E+000
1.891,-6.6135685967752567E-001,1.2443245273063346E+000
1.892,-6.6187588269576525E-001,1.2436631704466572E+000
1.893,-6.6239585331565642E-001,1.2430012945639615E+000
1.894,-6.6291677395175186E-001,1.2423388987106458E+000
1.895,-6.6343864702607536E-001,1.2416759819366943E+000
1.896,-6.6396147496814839E-001,1.2410125432896684E+000
1.897,-6.6448526021501642E-001,1.2403485818147002E+000
1.898,-6.6501000521127551E-001,1.2396840965544853E+000
1.899,-6.6553571240909914E-001,1.2390190865492741E+000
1.9,-6.6606238426826481E-001,1.2383535508368650E+000
1.901,-6.6659002325618111E-001,1.2376874884525968E+000
1.902,-6.6711863184791453E-001,1.2370208984293407E+000
1.903,-6.6764821252621687E-001,1.2363537797974928E+000
1.904,-6.6817876778155194E-001,1.2356861315849668E+000
1.905,-6.6871030011212340E-001,1.2350179528171852E+000
1.906,-6.6924281202390190E-001,1.2343492425170732E+000
1.907,-6.6977630603065241E-001,1.2336799997050494E+000
1.908,-6.7031078465396221E-001,1.2330102233990188E+000
1.909,-6.7084625042326840E-001,1.2323399126143648E+000
1.91,-6.7138270587588567E-001,1.2316690663639416E+000
1.911,-6.7192015355703438E-001,1.2309976836580658E+000
1.912,-6.7245859601986857E-001,1.2303257635045088E+000
1.913,-6.7299803582550388E-001,1.2296533049084890E+000
1.914,-6.7353847554304602E-001,1.2289803068726637E+000
1.915,-6.7407991774961906E-001,1.2283067683971207E+000
1.916,-6.7462236503039386E-001,1.2276326884793711E+000
1.917,-6.7516581997861680E-001,1.2269580661143409E+000
1.918,-6.7571028519563814E-001,1.2262829002943623E+000
1.919,-6.7625576329094095E-001,1.2256071900091667E+000
1.92,-6.7680225688217022E-001,1.2249309342458758E+000
1.921,-6.7734976859516149E-001,1.2242541319889937E+000
1.922,-6.7789830106397009E-001,1.2235767822203987E+000
1.923,-6.7844785693090059E-001,1.2228988839193349E+000
1.924,-6.7899843884653577E-001,1.2222204360624040E+000
1.925,-6.7955004946976627E-001,1.2215414376235576E+000
1.926,-6.8010269146782010E-001,1.2208618875740880E+000
1.927,-6.8065636751629222E-001,1.2201817848826202E+000
1.928,-6.8121108029917443E-001,1.2195011285151041E+000
1.929,-6.8176683250888526E-001,1.2188199174348049E+000
1.93,-6.8232362684629988E-001,1.2181381506022961E+000
1.931,-6.8288146602078026E-001,1.2174558269754499E+000
1.932,-6.8344035275020543E-001,1.2167729455094292E+000
1.933,-6.8400028976100158E-001,1.2160895051566791E+000
1.934,-6.8456127978817294E-001,1.2154055048669181E+000
1.935,-6.8512332557533195E-001,1.2147209435871300E+000
1.936,-6.8568642987473027E-001,1.2140358202615547E+000
1.937,-6.8625059544728928E-001,1.2133501338316799E+000
1.938,-6.8681582506263117E-001,1.2126638832362326E+000
1.939,-6.8738212149911004E-001,1.2119770674111701E+000
1.94,-6.8794948754384277E-001,1.2112896852896711E+000
1.941,-6.8851792599274053E-001,1.2106017358021273E+000
1.942,-6.8908743965054020E-001,1.2099132178761347E+000
1.943,-6.8965803133083570E-001,1.2092241304364841E+000
1.944,-6.9022970385610960E-001,1.2085344724051534E+000
1.945,-6.9080246005776502E-001,1.2078442427012974E+000
1.946,-6.9137630277615747E-001,1.2071534402412398E+000
1.947,-6.9195123486062671E-001,1.2064620639384638E+000
1.948,-6.9252725916952884E-001,1.2057701127036031E+000
