"time","out"
2.029,6.4298601465464122E-01
2.035,6.4616911351647910E-01
2.041,6.4935221237831708E-01
2.047,6.4935221237831708E-01
2.053,6.5253531124015496E-01
2.059,6.5253531124015496E-01
2.065,6.5571841010199294E-01
2.071,6.5890150896383071E-01
2.077,6.5890150896383071E-01
2.083,6.6208460782566869E-01
2.089,6.6208460782566869E-01
2.095,6.6526770668750657E-01
2.101,6.6845080554934455E-01
2.107,6.6845080554934455E-01
2.113,6.7163390441118243E-01
2.119,6.7163390441118243E-01
2.125,6.7481700327302041E-01
2.131,6.7800010213485817E-01
2.137,6.7800010213485817E-01
2.143,6.8118320099669616E-01
2.149,6.8118320099669616E-01
2.155,6.8436629985853403E-01
2.161,6.8754939872037202E-01
2.167,6.8754939872037202E-01
2.173,6.9073249758220989E-01
2.179,6.9073249758220989E-01
2.185,6.9391559644404788E-01
2.191,6.9709869530588564E-01
2.197,6.9709869530588564E-01
2.203,7.0028179416772363E-01
2.209,7.0028179416772363E-01
2.215,7.0346489302956150E-01
2.221,7.0664799189139937E-01
2.227,7.0664799189139937E-01
2.233,7.0983109075323736E-01
2.239,7.0983109075323736E-01
2.245,7.1301418961507512E-01
2.251,7.1619728847691311E-01
2.257,7.1619728847691311E-01
2.263,7.1938038733875098E-01
2.269,7.1938038733875098E-01
2.275,7.2256348620058897E-01
2.281,7.2574658506242684E-01
2.287,7.2574658506242684E-01
2.293,7.2892968392426483E-01
2.299,7.2892968392426483E-01
2.305,7.3211278278610259E-01
2.311,7.3529588164794057E-01
2.317,7.3529588164794057E-01
2.323,7.3847898050977845E-01
2.329,7.3847898050977845E-01
2.335,7.4166207937161643E-01
2.341,7.4484517823345420E-01
2.347,7.4484517823345420E-01
2.353,7.4802827709529218E-01
2.359,7.4802827709529218E-01
2.365,7.5121137595713006E-01
2.371,7.5439447481896804E-01
2.377,7.5439447481896804E-01
2.383,7.5757757368080592E-01
2.389,7.5757757368080592E-01
2.395,7.6076067254264390E-01
2.401,7.6394377140448166E-01
2.407,7.6394377140448166E-01
2.413,7.6712687026631965E-01
2.419,7.6712687026631965E-01
2.425,7.7030996912815752E-01
2.431,7.7349306798999551E-01
2.437,7.7349306798999551E-01
2.443,7.7667616685183338E-01
2.449,7.7667616685183338E-01
2.455,7.7985926571367137E-01
2.461,7.8304236457550913E-01
2.467,7.8304236457550913E-01
2.473,7.8622546343734701E-01
2.479,7.8622546343734701E-01
2.485,7.8940856229918499E-01
2.491,7.9259166116102286E-01
2.497,7.9259166116102286E-01
2.503,7.9577476002286085E-01
2.509,7.9577476002286085E-01
2.515,7.9895785888469861E-01
2.521,8.0214095774653660E-01
2.527,8.0214095774653660E-01
2.533,8.0532405660837447E-01
2.539,8.0532405660837447E-01
2.545,8.0850715547021246E-01
2.551,8.1169025433205033E-01
2.557,8.1169025433205033E-01
2.563,8.1487335319388832E-01
2.569,8.1487335319388832E-01
2.575,8.1805645205572608E-01
2.581,8.2123955091756407E-01
2.587,8.2123955091756407E-01
2.593,8.2442264977940194E-01
2.599,8.2442264977940194E-01
2.605,8.2760574864123992E-01
2.611,8.3078884750307769E-01
2.617,8.3078884750307769E-01
2.623,8.3397194636491567E-01
2.629,8.3397194636491567E-01
2.635,8.3715504522675355E-01
2.641,8.4033814408859153E-01
2.647,8.4033814408859153E-01
2.653,8.4352124295042941E-01
2.659,8.4352124295042941E-01
2.665,8.4670434181226739E-01
2.671,8.4988744067410515E-01
2.677,8.4988744067410515E-01
2.683,8.5307053953594314E-01
2.689,8.5307053953594314E-01
2.695,8.5625363839778101E-01
2.701,8.5943673725961900E-01
2.707,8.5943673725961900E-01
2.713,8.6261983612145687E-01
2.719,8.6261983612145687E-01
2.725,8.6580293498329464E-01
2.731,8.6898603384513262E-01
2.737,8.6898603384513262E-01
2.743,8.7216913270697050E-01
2.749,8.7216913270697050E-01
2.755,8.7535223156880848E-01
2.761,8.7853533043064636E-01
2.767,8.7853533043064636E-01
2.773,8.8171842929248434E-01
2.779,8.8171842929248434E-01
2.785,8.8490152815432210E-01
2.791,8.8808462701616009E-01
2.797,8.8808462701616009E-01
2.803,8.9126772587799796E-01
2.809,8.9126772587799796E-01
2.815,8.9445082473983595E-01
2.821,8.9763392360167382E-01
2.827,8.9763392360167382E-01
2.833,9.0081702246351181E-01
2.839,9.0081702246351181E-01
2.845,9.0400012132534957E-01
2.851,9.0718322018718756E-01
2.857,9.0718322018718756E-01
2.863,9.1036631904902543E-01
2.869,9.1036631904902543E-01
2.875,9.1354941791086341E-01
2.881,9.1673251677270129E-01
2.887,9.1673251677270129E-01
2.893,9.1991561563453916E-01
2.899,9.1991561563453916E-01
2.905,9.2309871449637704E-01
2.911,9.2628181335821502E-01
2.917,9.2628181335821502E-01
2.923,9.2946491222005290E-01
2.929,9.2946491222005290E-01
2.935,9.3264801108189088E-01
2.941,9.3583110994372865E-01
2.947,9.3583110994372865E-01
2.953,9.3901420880556663E-01
2.959,9.3901420880556663E-01
2.965,9.4219730766740450E-01
2.971,9.4538040652924238E-01
2.977,9.4538040652924238E-01
2.983,9.4856350539108036E-01
2.989,9.4856350539108036E-01
2.995,9.5174660425291813E-01
3,9.5174660425291813E-01
