"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
1.04966,-1.6128447125204963E-006,1.4700097043691018E+001,1.4701649913001788E+001,8.6000036243188873E+001,8.6000012663650750E+001,1.8410027312760575E-009,-2.6870452806003867E-010
1.05965,-1.5688865594535571E-006,1.4700097217055726E+001,1.4701649957524335E+001,8.6000035594625572E+001,8.6000012407366555E+001,1.7836704592449246E-009,-2.6148834596869215E-010
1.06965,-1.5259568892075471E-006,1.4700097382902053E+001,1.4701650000738322E+001,8.6000034914044463E+001,8.6000012155623281E+001,1.7270079344229607E-009,-2.5441361678657765E-010
1.07965,-1.4841148904387348E-006,1.4700097541404682E+001,1.4701650042476658E+001,8.6000034207938128E+001,8.6000011907090567E+001,1.6713354724264808E-009,-2.4749698207508272E-010
1.08964,-1.4434087425292734E-006,1.4700097692783880E+001,1.4701650082608413E+001,8.6000033482642735E+001,8.6000011660851186E+001,1.6169317894905680E-009,-2.4074260219096067E-010
1.09964,-1.4037588063676198E-006,1.4700097837719349E+001,1.4701650121149751E+001,8.6000032741985876E+001,8.6000011415610075E+001,1.5638676048709510E-009,-2.3414215637801700E-010
1.10964,-1.3652026856458044E-006,1.4700097976435114E+001,1.4701650158019762E+001,8.6000031991605027E+001,8.6000011171117322E+001,1.5123363560314675E-009,-2.2770188522860532E-010
1.11963,-1.3277686593893628E-006,1.4700098109176333E+001,1.4701650193165293E+001,8.6000031236784395E+001,8.6000010927371775E+001,1.4624898809856945E-009,-2.2143010950645995E-010
1.12963,-1.2913687720226827E-006,1.4700098236575394E+001,1.4701650226656366E+001,8.6000030480122945E+001,8.6000010683845204E+001,1.4143094602390121E-009,-2.1531226785278007E-010
1.13963,-1.2560242249109258E-006,1.4700098358851152E+001,1.4701650258472171E+001,8.6000029726065961E+001,8.6000010440903395E+001,1.3678845327106036E-009,-2.0935252068944203E-010
1.14962,-1.2217487802591783E-006,1.4700098476227732E+001,1.4701650288611706E+001,8.6000028978625238E+001,8.6000010199034350E+001,1.3232816576069602E-009,-2.0355710855816887E-010
1.15962,-1.1884511141196773E-006,1.4700098589261536E+001,1.4701650317174357E+001,8.6000028239152854E+001,8.6000009958091042E+001,1.2804051564927303E-009,-1.9791563053162921E-010
1.16962,-1.1561411494092382E-006,1.4700098698135028E+001,1.4701650344176750E+001,8.6000027510848625E+001,8.6000009718716242E+001,1.2392841490821759E-009,-1.9242392621942364E-010
1.17961,-1.1248231581593154E-006,1.4700098803026966E+001,1.4701650369648352E+001,8.6000026796482629E+001,8.6000009481584982E+001,1.1999165555300950E-009,-1.8709031639836765E-010
1.18961,-1.0944065904604867E-006,1.4700098904407978E+001,1.4701650393699195E+001,8.6000026096321491E+001,8.6000009246678104E+001,1.1621796577440590E-009,-1.8190231991820027E-010
1.19961,-1.0648945270616540E-006,1.4700099002410692E+001,1.4701650416365384E+001,8.6000025412445893E+001,8.6000009014690363E+001,1.1260547360705038E-009,-1.7685993678160155E-010
1.2096,-1.0362859188894861E-006,1.4700099097160390E+001,1.4701650437690464E+001,8.6000024746560342E+001,8.6000008786290749E+001,1.0914981112228150E-009,-1.7196316699123511E-010
1.2196,-1.0084940604609335E-006,1.4700099189044623E+001,1.4701650457781994E+001,8.6000024098092851E+001,8.6000008561439472E+001,1.0583787451892355E-009,-1.6720160960565699E-010
1.2296,-9.8151864632710372E-007,1.4700099278145359E+001,1.4701650476682632E+001,8.6000023468224853E+001,8.6000008340751549E+001,1.0266529586237904E-009,-1.6257526462716870E-010
1.23959,-9.5535642548790368E-007,1.4700099364536886E+001,1.4701650494438665E+001,8.6000022857835660E+001,8.6000008124785595E+001,9.9627083232319475E-010,-1.5808621221620307E-010
1.24959,-9.2992651166649191E-007,1.4700099448534035E+001,1.4701650511147239E+001,8.6000022265781496E+001,8.6000007913410002E+001,9.6709716827586951E-010,-1.5371781087907309E-010
1.25959,-9.0522763814230420E-007,1.4700099530174603E+001,1.4701650526849331E+001,8.6000021692589016E+001,8.6000007707098675E+001,9.3907788728183378E-010,-1.4947422099822552E-010
1.26958,-8.8125643930531535E-007,1.4700099609490717E+001,1.4701650541587133E+001,8.6000021138562133E+001,8.6000007506257816E+001,9.1216931000797515E-010,-1.4535752274652816E-010
1.27958,-8.5793886079965756E-007,1.4700099686737834E+001,1.4701650555443425E+001,8.6000020602228560E+001,8.6000007310646382E+001,8.8624247833187606E-010,-1.4135107461682302E-010
1.28958,-8.3527417000236997E-007,1.4700099761919784E+001,1.4701650568453021E+001,8.6000020083688582E+001,8.6000007120583831E+001,8.6124747298901838E-010,-1.3745695679449176E-010
1.29957,-8.1326008710163206E-007,1.4700099835037658E+001,1.4701650580650643E+001,8.6000019582892776E+001,8.6000006936323871E+001,8.3715101450063057E-010,-1.3367932966157977E-010
1.30957,-7.9182964891923516E-007,1.4700099906301329E+001,1.4701650592103801E+001,8.6000019098237289E+001,8.6000006757528567E+001,8.1384078444628947E-010,-1.3000155169755121E-010
1.31957,-7.7098340541264656E-007,1.4700099975691691E+001,1.4701650602839539E+001,8.6000018629587146E+001,8.6000006584379094E+001,7.9127518348078193E-010,-1.2642154269404110E-010
1.32956,-7.5072067929733918E-007,1.4700100043189874E+001,1.4701650612884293E+001,8.6000018176715045E+001,8.6000006417000108E+001,7.6942717199222925E-010,-1.2294762343905760E-010
1.33956,-7.3098133069716752E-007,1.4700100108972499E+001,1.4701650622291135E+001,8.6000017738028646E+001,8.6000006254985962E+001,7.4820523127284753E-010,-1.1956731277938488E-010
1.34956,-7.1176739770197602E-007,1.4700100173007641E+001,1.4701650631079536E+001,8.6000017313298287E+001,8.6000006098409443E+001,7.2759064164903328E-010,-1.1627853050640226E-010
1.35955,-6.9307984644716450E-007,1.4700100235265905E+001,1.4701650639268479E+001,8.6000016902246401E+001,8.6000005947299428E+001,7.0754804360558109E-010,-1.1308127665951740E-010
1.36955,-6.7486477299962222E-007,1.4700100295900729E+001,1.4701650646898528E+001,8.6000016503382952E+001,8.6000005801214570E+001,6.8801503804705035E-010,-1.0996723044009483E-010
1.37955,-6.5712556562969892E-007,1.4700100354875108E+001,1.4701650653982858E+001,8.6000016116478747E+001,8.6000005660153491E+001,6.6897914519850113E-010,-1.0693847204559379E-010
1.38954,-6.3986459061400485E-007,1.4700100412156734E+001,1.4701650660534620E+001,8.6000015741284898E+001,8.6000005524084031E+001,6.5042788520774960E-010,-1.0399500148955988E-010
