"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
3.301,-1.4094875196718628E+000,1.5401103886215295E-001,1.5401103886215295E-001,-3.1746618975097496E-001,6.3516490103941858E-001,6.0000000000000009E-001
3.321,-1.4094875196718628E+000,1.5401103886215295E-001,1.5401103886215295E-001,-3.5689292704472375E-001,5.9720827670472942E-001,6.0000000000000009E-001
3.341,-1.4094875196718628E+000,1.5401103886215295E-001,1.5401103886215295E-001,-3.9617691192616367E-001,5.5901513356457522E-001,6.0000000000000009E-001
3.361,-3.4304036408597874E-002,1.4202248236797055E-001,1.4202248236797055E-001,-4.3530243132512153E-001,5.2060073555013620E-001,5.0000000000000000E-001
3.381,-3.4304036408597874E-002,1.4202248236797055E-001,1.4202248236797055E-001,-4.7425383555550443E-001,4.8198042801683583E-001,5.0000000000000000E-001
3.401,-2.1190074344984633E+000,-1.2995457106273589E-001,-1.2995457106273589E-001,-5.1301554457496534E-001,4.4316963224518940E-001,4.0000000000000002E-001
3.421,-2.1190074344984633E+000,-1.2995457106273589E-001,-1.2995457106273589E-001,-5.5157205421671229E-001,4.0418383988208484E-001,4.0000000000000002E-001
3.441,-2.1190074344984633E+000,-1.2995457106273589E-001,-1.2995457106273589E-001,-5.8990794239096866E-001,3.6503860732495974E-001,4.0000000000000002E-001
3.461,5.3088291650140240E-001,-5.7096477946923796E-002,-5.7096477946923796E-002,-6.2800787525360313E-001,3.2574955005144746E-001,3.0000000000000004E-001
3.481,5.3088291650140240E-001,-5.7096477946923796E-002,-5.7096477946923796E-002,-6.6585661333946278E-001,2.8633233689715548E-001,3.0000000000000004E-001
3.501,-6.8154542440123300E-001,-1.3943483209973184E-001,-1.3943483209973184E-001,-7.0343901765795658E-001,2.4680268428433022E-001,2.0000000000000001E-001
3.521,-6.8154542440123300E-001,-1.3943483209973184E-001,-1.3943483209973184E-001,-7.4074005574844914E-001,2.0717635040423660E-001,2.0000000000000001E-001
