"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
8.54,1.0000000000000000E+000,7.7377435294001229E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.7377435294001229E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.5969742252469732E-001,6.0000000000000000E+000
8.56,1.0000000000000000E+000,7.6095122131877435E-001,9,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.6095122131877435E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.5969742252469732E-001,6.0000000000000000E+000
8.58,1.0000000000000000E+000,7.4782371935488978E-001,8,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.4782371935488978E-001,1.0000000000000000E+000,8.7468132764296613E-001,1.5969742252469732E-001,6.0000000000000000E+000
8.6,1.0000000000000000E+000,7.3439709787411334E-001,8,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.3439709787411334E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.5969742252469732E-001,6.0000000000000000E+000
8.62,1.0000000000000000E+000,7.2067672734601684E-001,8,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.2067672734601684E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.4687941957482187E-001,6.0000000000000000E+000
8.64,1.0000000000000000E+000,7.0666809573587797E-001,8,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,7.0666809573587797E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.4687941957482187E-001,6.0000000000000000E+000
8.66,1.0000000000000000E+000,6.9237680630956044E-001,8,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,6.9237680630956044E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.4687941957482187E-001,6.0000000000000000E+000
8.68,1.0000000000000000E+000,6.7780857539228678E-001,8,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,6.7780857539228678E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.4687941957482187E-001,6.0000000000000000E+000
8.7,1.0000000000000000E+000,6.6296923008218200E-001,7,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,8.5459890808827677E-001,6.6296923008218200E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.4687941957482187E-001,6.0000000000000000E+000
8.72,1.0000000000000000E+000,6.4786470591951761E-001,7,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,6.6296923008217934E-001,6.4786470591951761E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.3259384601643587E-001,6.0000000000000000E+000
8.74,1.0000000000000000E+000,6.3250104451256628E-001,7,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,6.6296923008217934E-001,6.3250104451256628E-001,1.0000000000000000E+000,7.4782371935489111E-001,1.3259384601643587E-001,6.0000000000000000E+000
