"time","part5_displacement_output"
8.916,2.3781015262284262E+02
8.917,2.3809831906206725E+02
8.918,2.3838624831403973E+02
8.919,2.3867393990518858E+02
8.92,2.3896139422986244E+02
8.921,2.3924861081522977E+02
8.922,2.3953558947825019E+02
8.923,2.3982232974825925E+02
8.924,2.4010883201965189E+02
8.925,2.4039509582250145E+02
8.926,2.4068112068832926E+02
8.927,2.4096690701155364E+02
8.928,2.4125245432442790E+02
8.929,2.4153776216065663E+02
8.93,2.4182283091467613E+02
8.931,2.4210766012092174E+02
8.932,2.4239224931528031E+02
8.933,2.4267659889219846E+02
8.934,2.4296070838829701E+02
8.935,2.4324457734164000E+02
8.936,2.4352820614668573E+02
8.937,2.4381159434223204E+02
8.938,2.4409474146852662E+02
8.939,2.4437764792003154E+02
8.94,2.4466031323772373E+02
8.941,2.4494273696403050E+02
8.942,2.4522491949341440E+02
8.943,2.4550686036903062E+02
8.944,2.4578855913548904E+02
8.945,2.4607001618724505E+02
8.946,2.4635123106963223E+02
8.947,2.4663220332944240E+02
8.948,2.4691293336112020E+02
8.949,2.4719342071217756E+02
8.95,2.4747366493158663E+02
8.951,2.4775366641377767E+02
8.952,2.4803342470844089E+02
8.953,2.4831293936672955E+02
8.954,2.4859221078305245E+02
8.955,2.4887123850928072E+02
8.956,2.4915002209874604E+02
8.957,2.4942856194583521E+02
8.958,2.4970685760459469E+02
8.959,2.4998490863053973E+02
8.96,2.5026271541802689E+02
8.961,2.5054027752328190E+02
8.962,2.5081759450400159E+02
8.963,2.5109466675450477E+02
8.964,2.5137149383320332E+02
8.965,2.5164807529996838E+02
8.966,2.5192441154908545E+02
8.967,2.5220050214114150E+02
8.968,2.5247634691534446E+02
8.969,2.5275194543447898E+02
8.97,2.5302729809276951E+02
8.971,2.5330240445370930E+02
8.972,2.5357726408226500E+02
8.973,2.5385187737261248E+02
8.974,2.5412624389042568E+02
8.975,2.5440036320285299E+02
8.976,2.5467423570401627E+02
8.977,2.5494786096177302E+02
8.978,2.5522123854544822E+02
8.979,2.5549436884911535E+02
8.98,2.5576725144280533E+02
8.981,2.5603988589803015E+02
8.982,2.5631227260879848E+02
8.983,2.5658441114732915E+02
8.984,2.5685630108730948E+02
