"time","TRes"
1.08,2.9889937314741877E+002
1.082,2.9889822327299373E+002
1.084,2.9889707362854358E+002
1.086,2.9889592421402233E+002
1.088,2.9889477502938399E+002
1.09,2.9889362607458258E+002
1.092,2.9889247734957212E+002
1.094,2.9889132885430666E+002
1.096,2.9889018058874024E+002
1.098,2.9888903255282696E+002
1.1,2.9888788474652085E+002
1.102,2.9888673716977598E+002
1.104,2.9888558982254648E+002
1.106,2.9888444270478641E+002
1.108,2.9888329581644990E+002
1.11,2.9888214915749109E+002
1.112,2.9888100272786403E+002
1.114,2.9887985652752292E+002
1.116,2.9887871055642188E+002
1.118,2.9887756481451504E+002
1.12,2.9887641930175658E+002
1.122,2.9887527401810070E+002
1.124,2.9887412896350151E+002
1.126,2.9887298413791325E+002
1.128,2.9887183954129011E+002
1.13,2.9887069517358628E+002
1.132,2.9886955103475600E+002
1.134,2.9886840712475350E+002
1.136,2.9886726344353298E+002
1.138,2.9886611999104872E+002
1.14,2.9886497676725497E+002
1.142,2.9886383377210598E+002
1.144,2.9886269100555597E+002
1.146,2.9886154846755932E+002
1.148,2.9886040615807025E+002
1.15,2.9885926407704306E+002
1.152,2.9885812222443207E+002
1.154,2.9885698060019160E+002
1.156,2.9885583920427598E+002
1.158,2.9885469803663955E+002
1.16,2.9885355709723666E+002
1.162,2.9885241638602162E+002
1.164,2.9885127590294883E+002
1.166,2.9885013564797265E+002
1.168,2.9884899562104749E+002
1.17,2.9884785582212771E+002
1.172,2.9884671625116772E+002
1.174,2.9884557690812193E+002
1.176,2.9884443779294475E+002
1.178,2.9884329890559059E+002
1.18,2.9884216024601392E+002
1.182,2.9884102181416915E+002
1.184,2.9883988361001076E+002
1.186,2.9883874563349320E+002
1.188,2.9883760788457090E+002
1.19,2.9883647036319843E+002
1.192,2.9883533306933020E+002
1.194,2.9883419600292075E+002
1.196,2.9883305916392459E+002
1.198,2.9883192255229619E+002
1.2,2.9883078616799014E+002
1.202,2.9882965001096096E+002
1.204,2.9882851408116318E+002
1.206,2.9882737837855137E+002
1.208,2.9882624290308007E+002
1.21,2.9882510765470386E+002
1.212,2.9882397263337731E+002
1.214,2.9882283783905507E+002
