"time","Capacitor1.i","IdealDiode3.v"
0.0626,-2.6773756414356444E+002,-1.5076292393647728E+002
0.0628,-2.2388438084271229E+002,-1.7928328788569561E+002
0.063,-1.6538096105197360E+002,-2.0847008281356980E+002
0.0632,-9.7244831908878666E+001,-2.3828407583443280E+002
0.0634,-2.4714300683566837E+001,-2.6865097794565685E+002
0.0636,4.6882874341175580E+001,-2.9946088626797842E+002
0.0638,1.1226239085077022E+002,-3.3056861000544046E+002
0.064,1.6631488123411359E+002,-3.6179487872735706E+002
0.0642,2.0423299877082340E+002,-3.9292841163880172E+002
0.0644,2.2163125450351723E+002,-4.2372880707656969E+002
0.0646,2.1465591868827218E+002,-4.5393019297457977E+002
0.0648,1.8008253050467206E+002,-4.8324556189444610E+002
0.065,1.1539884334063512E+002,-5.1137169879067335E+002
0.0652,1.8975971160302695E+001,-5.3582536459534947E+002
0.0654,-9.3813535413908625E+001,-5.3536500981274310E+002
0.0656,-2.1199100953892548E+002,-5.3342145385146011E+002
0.0658,-2.8582165341864942E+002,-5.2998318359385621E+002
0.066,-2.5433521868638954E+002,-5.2639134976752189E+002
0.0662,-2.0505483797815617E+002,-5.2336087585189262E+002
0.0664,-1.4278008407732992E+002,-5.2109262694261815E+002
0.0666,-7.2616159996565884E+001,-5.1972099067711497E+002
0.0668,1.5471022847380511E-001,-5.1931078265067754E+002
0.067,7.0205455303943111E+001,-5.1985589697039813E+002
0.0672,1.3229689852747111E+002,-5.2127972727816996E+002
0.0674,1.8140806866647415E+002,-5.2343734175769896E+002
0.0676,2.1286114486934872E+002,-5.2611935837342116E+002
0.0678,2.2243822968325276E+002,-5.2905742573568659E+002
0.068,2.0648733524230278E+002,-5.3193118154069907E+002
0.0682,1.6201521617079402E+002,-5.3437652550803705E+002
0.0684,8.6764983011139108E+001,-5.3599501558358043E+002
0.0686,-1.8250354790476482E+001,-5.3637123049088586E+002
0.0688,-1.3287453801222688E+002,-5.3525493966776594E+002
0.069,-2.5314092935713020E+002,-5.3256790404645926E+002
0.0692,-2.7795847744893990E+002,-5.2878626201632528E+002
0.0694,-2.4010534757424972E+002,-5.2534966441328379E+002
0.0696,-1.8600627260226463E+002,-5.2254759702492493E+002
0.0698,-1.2057527330613885E+002,-5.2055936220227750E+002
0.07,-4.8989970723310591E+001,-5.1949657896318513E+002
0.0702,2.3438517422931909E+001,-5.1940066103588833E+002
0.0704,9.1398256844313607E+001,-5.2024205327973050E+002
0.0706,1.4970874893648107E+002,-5.2192123655686373E+002
0.0708,1.9344977031203302E+002,-5.2427147356820569E+002
0.071,2.1808390060599214E+002,-5.2706322709900633E+002
0.0712,2.1956998950514617E+002,-5.3001014546987335E+002
0.0714,1.9446502451229105E+002,-5.3277647485640500E+002
0.0716,1.4001212724330378E+002,-5.3498572545993284E+002
0.0718,5.4212721978835930E+001,-5.3623039192211763E+002
0.072,-5.6130314143315900E+001,-5.3610097337752904E+002
0.0722,-1.7243332074163760E+002,-5.3439637205656254E+002
0.0724,-2.9182067322493492E+002,-4.0614635800407092E+002
0.0726,-2.6725056768374009E+002,-3.7454385736359416E+002
