"time","TRes","heatCapacitor_T","switch_Controll"
6.86,3.1784092346769836E+002,4.4690923467698383E+001,0
6.88,3.1797371808210863E+002,4.4823718082108655E+001,0
6.9,3.1810616105544210E+002,4.4956161055442124E+001,0
6.92,3.1823825340025047E+002,4.5088253400250494E+001,0
6.94,3.1836999612564432E+002,4.5219996125644343E+001,0
6.96,3.1850139023730685E+002,4.5351390237306873E+001,0
6.98,3.1863243673751060E+002,4.5482436737510625E+001,0
7,3.1876313662513166E+002,4.5613136625131688E+001,0
7.02,3.1889349089566520E+002,4.5743490895665218E+001,0
7.04,3.1902350054124020E+002,4.5873500541240219E+001,0
7.06,3.1915316655063435E+002,4.6003166550634376E+001,0
7.08,3.1928248990928881E+002,4.6132489909288836E+001,0
7.1,3.1941147159932297E+002,4.6261471599322988E+001,0
7.12,3.1954011259954899E+002,4.6390112599549013E+001,0
7.14,3.1966841388548642E+002,4.6518413885486439E+001,0
7.16,3.1979637642937655E+002,4.6646376429376573E+001,0
7.18,3.1992400120019670E+002,4.6774001200196722E+001,0
7.2,3.2005128916367408E+002,4.6901289163674107E+001,0
7.22,3.2017824128230097E+002,4.7028241282300996E+001,0
7.24,3.2030485851534792E+002,4.7154858515347939E+001,0
7.26,3.2043114181887796E+002,4.7281141818877984E+001,0
7.28,3.2055709214576058E+002,4.7407092145760600E+001,0
7.3,3.2068271044568564E+002,4.7532710445685666E+001,0
7.32,3.2080799766517697E+002,4.7657997665176993E+001,0
7.34,3.2093295474760600E+002,4.7782954747606027E+001,0
7.36,3.2105758263320581E+002,4.7907582633205834E+001,0
7.38,3.2118188225908347E+002,4.8031882259083488E+001,0
7.4,3.2130585455923517E+002,4.8155854559235195E+001,0
7.42,3.2142950046455780E+002,4.8279500464557827E+001,0
7.44,3.2155282090286346E+002,4.8402820902863482E+001,0
7.46,3.2167581679889219E+002,4.8525816798892208E+001,0
7.48,3.2179848907432518E+002,4.8648489074325198E+001,0
7.5,3.2192083864779744E+002,4.8770838647797461E+001,0
7.52,3.2204286643491156E+002,4.8892866434911582E+001,0
7.54,3.2216457334824941E+002,4.9014573348249428E+001,0
7.56,3.2228596029738623E+002,4.9135960297386248E+001,0
7.58,3.2238011752052086E+002,4.9230117520520878E+001,1
7.6,3.2232171279162139E+002,4.9171712791621417E+001,1
7.62,3.2226342476127678E+002,4.9113424761276804E+001,1
7.64,3.2220525319631156E+002,4.9055253196311583E+001,1
7.66,3.2214719786401611E+002,4.8997197864016130E+001,1
7.68,3.2208925853214589E+002,4.8939258532145914E+001,1
7.7,3.2203143496892017E+002,4.8881434968920189E+001,1
7.72,3.2197372694302175E+002,4.8823726943021768E+001,1
7.74,3.2191613422359501E+002,4.8766134223595031E+001,1
7.76,3.2185865658024608E+002,4.8708656580246100E+001,1
7.78,3.2180129378304133E+002,4.8651293783041353E+001,1
