"time","outputs"
0.088,2.6459767274256291E+002
0.0882,2.6584159072960330E+002
0.0884,2.6668791326381637E+002
0.0886,2.6692844624736369E+002
0.0888,2.6642801776512385E+002
0.089,2.6514551068834106E+002
0.0892,2.6326806110328909E+002
0.0894,2.6153180254790192E+002
0.0896,2.6010490843803962E+002
0.0898,2.5907947631509165E+002
0.09,2.5851389011601083E+002
0.0902,2.5843149415193761E+002
0.0904,2.5882014477185908E+002
0.0906,2.5963264689157785E+002
0.0908,2.6078806256491879E+002
0.091,2.6217385912249097E+002
0.0912,2.6364884553890886E+002
0.0914,2.6504682802881399E+002
0.0916,2.6618089980382911E+002
0.0918,2.6684826579866967E+002
0.092,2.6684881640150928E+002
0.0922,2.6609160130105852E+002
0.0924,2.6453959019481795E+002
0.0926,2.6266370031791098E+002
0.0928,2.6101804986690547E+002
0.093,2.5971606001111343E+002
0.0932,2.5883879804129310E+002
0.0934,2.5843307990613295E+002
0.0936,2.5851043455048421E+002
0.0938,2.5904695055080651E+002
0.094,2.5998400555249697E+002
0.0942,2.6122985907862670E+002
0.0944,2.6266206984267967E+002
0.0946,2.6413068018957296E+002
0.0948,2.6546209311772890E+002
0.095,2.6646355187752840E+002
0.0952,2.6692813793757580E+002
0.0954,2.6668005466220660E+002
0.0956,2.6566214478093070E+002
0.0958,2.6389465320769784E+002
0.096,2.6208112285627840E+002
0.0962,2.6053913080953777E+002
0.0964,2.5937157254184513E+002
0.0966,2.5864826250460669E+002
0.0968,2.5840432053585482E+002
0.097,2.5863942912866332E+002
0.0972,2.5931797540878426E+002
0.0974,2.6037007164979815E+002
0.0976,2.6169342833586666E+002
0.0978,2.6315603460773036E+002
0.098,2.6459958282074138E+002
0.0982,2.6584355730338137E+002
0.0984,2.6668989259592752E+002
0.0986,2.6693039319572819E+002
0.0988,2.6642987745355282E+002
0.099,2.6514722853547664E+002
0.0992,2.6326962691496959E+002
0.0994,2.6153319861092001E+002
0.0996,2.6010610440677266E+002
0.0998,2.5908044637642007E+002
0.1,2.5851461354873823E+002
