"time","TRes","heatCapacitor_T","switch_Controll"
8.44,3.2367612823252733E+002,5.0526128232527356E+001,1
8.46,3.2361516885491670E+002,5.0465168854916726E+001,1
8.48,3.2355432695682345E+002,5.0404326956823468E+001,1
8.5,3.2349360253824773E+002,5.0343602538247751E+001,1
8.52,3.2343299559918944E+002,5.0282995599189462E+001,1
8.54,3.2337250613964864E+002,5.0222506139648658E+001,1
8.56,3.2331213415962526E+002,5.0162134159625282E+001,1
8.58,3.2325187965911942E+002,5.0101879659119447E+001,1
8.6,3.2319174263813102E+002,5.0041742638131041E+001,1
8.62,3.2313172309666004E+002,4.9981723096660062E+001,1
8.64,3.2307182103470660E+002,4.9921821034706625E+001,1
8.66,3.2301201824011514E+002,4.9862018240115162E+001,1
8.68,3.2295232871991448E+002,4.9802328719914499E+001,1
8.7,3.2289275547637146E+002,4.9742755476371485E+001,1
8.72,3.2283329850948593E+002,4.9683298509485951E+001,1
8.74,3.2277395781925799E+002,4.9623957819258010E+001,1
8.76,3.2271473340568764E+002,4.9564733405687662E+001,1
8.78,3.2265562526877477E+002,4.9505625268774793E+001,1
8.8,3.2259663340851955E+002,4.9446633408519574E+001,1
8.82,3.2253775782492181E+002,4.9387757824921835E+001,1
8.84,3.2247899851798167E+002,4.9328998517981688E+001,1
8.86,3.2242035548769911E+002,4.9270355487699135E+001,1
8.88,3.2236182873407409E+002,4.9211828734074118E+001,1
8.9,3.2230341825710661E+002,4.9153418257106637E+001,1
8.92,3.2224512405679673E+002,4.9095124056796749E+001,1
8.94,3.2218694613314437E+002,4.9036946133144397E+001,1
8.96,3.2219420517025463E+002,4.9044205170254656E+001,0
8.98,3.2231541542616407E+002,4.9165415426164088E+001,0
9,3.2243629945743857E+002,4.9286299457438588E+001,0
9.02,3.2255690087489847E+002,4.9406900874898497E+001,0
9.04,3.2267721967854385E+002,4.9527219678543872E+001,0
9.06,3.2279718819970475E+002,4.9647188199704772E+001,0
9.08,3.2291681834770480E+002,4.9766818347704827E+001,0
9.1,3.2303614705712596E+002,4.9886147057125982E+001,0
9.12,3.2315517432796815E+002,5.0005174327968177E+001,0
9.14,3.2327390016023139E+002,5.0123900160231415E+001,0
9.16,3.2339232455391567E+002,5.0242324553915694E+001,0
9.18,3.2351044750902105E+002,5.0360447509021071E+001,0
9.2,3.2362826902554747E+002,5.0478269025547490E+001,0
9.22,3.2374578910349493E+002,5.0595789103494951E+001,0
