"time","Var_disp"
3.417,4.1997395562145545E-002
3.418,4.1865905724352559E-002
3.419,4.1728698904574535E-002
3.42,4.1585856620023343E-002
3.421,4.1437460800523240E-002
3.422,4.1283592891601328E-002
3.423,4.1124335427108361E-002
3.424,4.0959769969659665E-002
3.425,4.0789979037168966E-002
3.426,4.0615043909310811E-002
3.427,4.0435046690843301E-002
3.428,4.0250067934414879E-002
3.429,4.0060188552095255E-002
3.43,3.9865488067863608E-002
3.431,3.9666047342364008E-002
3.432,3.9461946009967774E-002
3.433,3.9253264930713017E-002
3.434,3.9040083506585610E-002
3.435,3.8822482253889290E-002
3.436,3.8600540006495043E-002
3.437,3.8374336241255858E-002
3.438,3.8143950418348616E-002
3.439,3.7909463300713653E-002
3.44,3.7670958156496459E-002
3.441,3.7428516651809574E-002
3.442,3.7182221803760740E-002
3.443,3.6932154815471963E-002
3.444,3.6678398134125989E-002
3.445,3.6421032192063274E-002
3.446,3.6160138562813304E-002
3.447,3.5895796612726349E-002
3.448,3.5628089901700744E-002
3.449,3.5357113398175044E-002
3.45,3.5082967412400134E-002
3.451,3.4805750500587540E-002
3.452,3.4525562412485167E-002
3.453,3.4242502711274048E-002
3.454,3.3956669310151621E-002
3.455,3.3668161547922293E-002
3.456,3.3377076463276145E-002
3.457,3.3083512339629806E-002
3.458,3.2787550641545482E-002
3.459,3.2489239070832898E-002
3.46,3.2188617607410541E-002
3.461,3.1885727549193610E-002
3.462,3.1580607672120342E-002
3.463,3.1273298074659728E-002
3.464,3.0963836282468349E-002
3.465,3.0652261151201454E-002
3.466,3.0338608917802934E-002
3.467,3.0022918001584409E-002
3.468,2.9705270592564559E-002
3.469,2.9385820012444053E-002
3.47,2.9064725801029923E-002
3.471,2.8742146321197537E-002
3.472,2.8418242187073450E-002
3.473,2.8093172006356970E-002
3.474,2.7767096355364673E-002
3.475,2.7440173497261910E-002
3.476,2.7112563393477895E-002
3.477,2.6784415290894259E-002
3.478,2.6455764710134000E-002
3.479,2.6126559532675731E-002
3.48,2.5796748253927970E-002
3.481,2.5466277871510901E-002
3.482,2.5135098120852239E-002
3.483,2.4803157303323164E-002
3.484,2.4470406539508271E-002
3.485,2.4136795578659664E-002
3.486,2.3802276538905209E-002
3.487,2.3466826685830666E-002
3.488,2.3130597501216710E-002
3.489,2.2793820613813520E-002
3.49,2.2456727400669729E-002
3.491,2.2119552742053350E-002
3.492,2.1782530527881039E-002
3.493,2.1445897755417498E-002
3.494,2.1109890056317915E-002
3.495,2.0774745809910122E-002
