"time","level","level2","level3"
18,5.6416606903076172E+001,5.6416606903076172E+001,0.0000000000000000E+000
18.12,5.6916614532470703E+001,5.6916614532470703E+001,0.0000000000000000E+000
18.24,5.7249950408935547E+001,5.7249950408935547E+001,0.0000000000000000E+000
18.36,5.7749958038330078E+001,5.7749958038330078E+001,0.0000000000000000E+000
18.48,5.8083293914794922E+001,5.8083293914794922E+001,0.0000000000000000E+000
18.6,5.8416633605957031E+001,5.8416633605957031E+001,0.0000000000000000E+000
18.72,5.8916637420654297E+001,5.8916637420654297E+001,0.0000000000000000E+000
18.84,5.9249977111816406E+001,5.9249977111816406E+001,0.0000000000000000E+000
18.96,5.9749980926513672E+001,5.9749980926513672E+001,0.0000000000000000E+000
19.08,6.0083320617675781E+001,6.0083320617675781E+001,0.0000000000000000E+000
19.2,6.0416656494140625E+001,6.0416656494140625E+001,0.0000000000000000E+000
19.32,6.0916664123535156E+001,6.0916664123535156E+001,0.0000000000000000E+000
19.44,6.1250000000000000E+001,6.1250000000000000E+001,0.0000000000000000E+000
19.56,6.1750007629394531E+001,6.1750007629394531E+001,0.0000000000000000E+000
19.68,6.2083343505859375E+001,6.2083343505859375E+001,0.0000000000000000E+000
19.8,6.2416679382324219E+001,6.2416679382324219E+001,0.0000000000000000E+000
19.92,6.2916687011718750E+001,6.2916687011718750E+001,0.0000000000000000E+000
20.04,6.3250022888183594E+001,6.3250022888183594E+001,0.0000000000000000E+000
20.16,6.3750030517578125E+001,6.3750030517578125E+001,0.0000000000000000E+000
20.28,6.4083366394042969E+001,6.4083366394042969E+001,0.0000000000000000E+000
20.4,6.4416702270507812E+001,6.4416702270507812E+001,0.0000000000000000E+000
20.52,6.4916709899902344E+001,6.4916709899902344E+001,0.0000000000000000E+000
20.64,6.5250045776367188E+001,6.5250045776367188E+001,0.0000000000000000E+000
20.76,6.5750053405761719E+001,6.5750053405761719E+001,0.0000000000000000E+000
20.88,6.6083389282226563E+001,6.6083389282226563E+001,0.0000000000000000E+000
21,6.6416732788085938E+001,6.6416732788085938E+001,0.0000000000000000E+000
21.12,6.6916732788085938E+001,6.6916732788085938E+001,0.0000000000000000E+000
21.24,6.7250076293945313E+001,6.7250076293945313E+001,0.0000000000000000E+000
21.36,6.7750076293945312E+001,6.7750076293945312E+001,0.0000000000000000E+000
21.48,6.8083419799804687E+001,6.8083419799804687E+001,0.0000000000000000E+000
21.6,6.8416755676269531E+001,6.8416755676269531E+001,0.0000000000000000E+000
21.72,6.8916763305664063E+001,6.8916763305664063E+001,0.0000000000000000E+000
21.84,6.9250099182128906E+001,6.9250099182128906E+001,0.0000000000000000E+000
21.96,6.9750106811523438E+001,6.9750106811523438E+001,0.0000000000000000E+000
22.08,7.0083442687988281E+001,7.0083442687988281E+001,0.0000000000000000E+000
22.2,7.0416778564453125E+001,7.0416778564453125E+001,0.0000000000000000E+000
22.32,7.0916786193847656E+001,7.0916786193847656E+001,0.0000000000000000E+000
22.44,7.1250122070312500E+001,7.1250122070312500E+001,0.0000000000000000E+000
22.56,7.1750129699707031E+001,7.1750129699707031E+001,0.0000000000000000E+000
22.68,7.2083465576171875E+001,7.2083465576171875E+001,0.0000000000000000E+000
22.8,7.2416801452636719E+001,7.2416801452636719E+001,0.0000000000000000E+000
22.92,7.2916809082031250E+001,7.2916809082031250E+001,0.0000000000000000E+000
23.04,7.3250144958496094E+001,7.3250144958496094E+001,0.0000000000000000E+000
23.16,7.3750152587890625E+001,7.3750152587890625E+001,0.0000000000000000E+000
23.28,7.4083488464355469E+001,7.4083488464355469E+001,0.0000000000000000E+000
23.4,7.4416824340820313E+001,7.4416824340820313E+001,0.0000000000000000E+000
23.52,7.4916831970214844E+001,7.4916831970214844E+001,0.0000000000000000E+000
23.64,7.5250167846679688E+001,7.5250167846679688E+001,0.0000000000000000E+000
23.76,7.5750175476074219E+001,7.5750175476074219E+001,0.0000000000000000E+000
23.88,7.6083511352539063E+001,7.6083511352539063E+001,0.0000000000000000E+000
24,7.6416854858398438E+001,7.6416854858398438E+001,0.0000000000000000E+000
24.12,7.6916854858398438E+001,7.6916854858398438E+001,0.0000000000000000E+000
24.24,7.7250198364257812E+001,7.7250198364257812E+001,0.0000000000000000E+000
24.36,7.7750198364257813E+001,7.7750198364257813E+001,0.0000000000000000E+000
24.48,7.8083541870117187E+001,7.8083541870117187E+001,0.0000000000000000E+000
24.6,7.8416877746582031E+001,7.8416877746582031E+001,0.0000000000000000E+000
24.72,7.8916885375976563E+001,7.8916885375976563E+001,0.0000000000000000E+000
24.84,7.9250221252441406E+001,7.9250221252441406E+001,0.0000000000000000E+000
24.96,7.9750228881835938E+001,7.9750228881835938E+001,0.0000000000000000E+000
25.08,8.0083564758300781E+001,8.0083564758300781E+001,0.0000000000000000E+000
25.2,8.0416900634765625E+001,8.0416900634765625E+001,0.0000000000000000E+000
25.32,8.0916908264160156E+001,8.0916908264160156E+001,0.0000000000000000E+000
25.44,8.1250244140625000E+001,8.1250244140625000E+001,0.0000000000000000E+000
25.56,8.1750251770019531E+001,8.1750251770019531E+001,0.0000000000000000E+000
25.68,8.2083587646484375E+001,8.2083587646484375E+001,0.0000000000000000E+000
25.8,8.2416923522949219E+001,8.2416923522949219E+001,0.0000000000000000E+000
25.92,8.2916931152343750E+001,8.2916931152343750E+001,0.0000000000000000E+000
26.04,8.3250267028808594E+001,8.3250267028808594E+001,0.0000000000000000E+000
26.16,8.3750274658203125E+001,8.3750274658203125E+001,0.0000000000000000E+000
26.28,8.4083610534667969E+001,8.4083610534667969E+001,0.0000000000000000E+000
26.4,8.4416946411132813E+001,8.4416946411132813E+001,0.0000000000000000E+000
26.52,8.4916954040527344E+001,8.4916954040527344E+001,0.0000000000000000E+000
26.64,8.5250289916992187E+001,8.5250289916992187E+001,0.0000000000000000E+000
26.76,8.5750297546386719E+001,8.5750297546386719E+001,0.0000000000000000E+000
26.88,8.6083633422851562E+001,8.6083633422851562E+001,0.0000000000000000E+000
27,8.6416976928710938E+001,8.6416976928710938E+001,0.0000000000000000E+000
27.12,8.6916976928710938E+001,8.6916976928710938E+001,0.0000000000000000E+000
27.24,8.7250320434570313E+001,8.7250320434570313E+001,0.0000000000000000E+000
27.36,8.7750320434570313E+001,8.7750320434570313E+001,0.0000000000000000E+000
27.48,8.8083663940429687E+001,8.8083663940429687E+001,0.0000000000000000E+000
27.6,8.8416999816894531E+001,8.8416999816894531E+001,0.0000000000000000E+000
27.72,8.8917007446289063E+001,8.8917007446289063E+001,0.0000000000000000E+000
27.84,8.9250343322753906E+001,8.9250343322753906E+001,0.0000000000000000E+000
27.96,8.9750350952148438E+001,8.9750350952148438E+001,0.0000000000000000E+000
