"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
1.828,7.1209290495222577E+000,2.5714898187602223E+001,2.1896065937565986E+001,1.4828489467555332E+001,-7.8546236507324050E+000
1.838,7.2202216423265604E+000,2.5701773650308056E+001,2.1787364225223072E+001,1.4838863690762294E+001,-7.8388747913388546E+000
1.848,7.3195267564864235E+000,2.5690737203484542E+001,2.1682862330336878E+001,1.4848878931450960E+001,-7.8237646075146650E+000
1.858,7.4188442453929229E+000,2.5681705055688095E+001,2.1582396473534715E+001,1.4858544569903367E+001,-7.8092702271822256E+000
1.868,7.5181739476614773E+000,2.5674596332823835E+001,2.1485808381690767E+001,1.4867869926013116E+001,-7.7953693741951255E+000
1.878,7.6175156885252662E+000,2.5669333008600514E+001,2.1392945162060563E+001,1.4876864247627244E+001,-7.7820403685511135E+000
1.888,7.7168692811688402E+000,2.5665839834412367E+001,2.1303659175341998E+001,1.4885536699594395E+001,-7.7692621254030314E+000
1.898,7.8162345280019068E+000,2.5664044268825535E+001,2.1217807907965586E+001,1.4893896353520120E+001,-7.7570141529208048E+000
1.908,7.9156112218734904E+000,2.5663876406838494E+001,2.1135253843906298E+001,1.4901952178226574E+001,-7.7452765490623099E+000
1.918,8.0149991472268756E+000,2.5665268909077820E+001,2.1055864336297525E+001,1.4909713030910089E+001,-7.7340299973144262E+000
1.928,8.1143980811958176E+000,2.5668156931082397E+001,2.0979511479115043E+001,1.4917187648987602E+001,-7.7232557614686463E+000
1.938,8.2138077946427916E+000,2.5672478052820839E+001,2.0906071979184645E+001,1.4924384642620264E+001,-7.7129356794974449E+000
1.948,8.3132280531400706E+000,2.5678172208578307E+001,2.0835427028752992E+001,1.4931312487900531E+001,-7.7030521565991270E+000
1.958,8.4126586178946621E+000,2.5685181617340355E+001,2.0767462178846124E+001,1.4937979520687167E+001,-7.6935881574791809E+000
1.968,8.5120992466181313E+000,2.5693450713792821E+001,2.0702067213624812E+001,1.4944393931070644E+001,-7.6845271979361378E+000
1.978,8.6115496943425782E+000,2.5702926080047867E+001,2.0639136025930892E+001,1.4950563758450512E+001,-7.6758533358193306E+000
1.988,8.7110097141840317E+000,2.5713556378197776E+001,2.0578566494203404E+001,1.4956496887204610E+001,-7.6675511614247363E+000
1.998,8.8104790580547085E+000,2.5725292283789400E+001,2.0520260360928226E+001,1.4962201042929102E+001,-7.6596057873933052E+000
2.0075,8.9049834502711231E+000,2.5737663276239061E+001,2.0466753316959505E+001,1.4976213729111715E+001,-7.6568697057311566E+000
2.0175,9.0045100140873444E+000,2.5767204538251157E+001,2.0404325883809005E+001,1.5154399446208744E+001,-7.7373479481790248E+000
2.0275,9.1044299230629306E+000,2.5856148109377557E+001,2.0313495285991483E+001,1.5565709063505512E+001,-7.9343707460813988E+000
2.0375,9.2054615788569105E+000,2.6021969748007809E+001,2.0185644768050274E+001,1.6087206684180241E+001,-8.1834607380970503E+000
2.0475,9.3083554423999022E+000,2.6252378188302366E+001,2.0027952942100271E+001,1.6632650754602956E+001,-8.4407173516969465E+000
2.0575,9.4136798444725347E+000,2.6527264651718230E+001,1.9851628359028133E+001,1.7167918575304729E+001,-8.6896671889063679E+000
