"time","Piston.body.r_0[1]","Piston.body.r_0[2]","Piston.body.r_0[3]","Inertia.w"
0.245,1.4999999999999999E-001,3.0077708526412916E-001,0.0000000000000000E+000,1.6700099199389123E+002
0.246,1.4999999999999999E-001,3.1934187512534840E-001,0.0000000000000000E+000,1.6524864253108635E+002
0.247,1.4999999999999999E-001,3.3769009366298686E-001,0.0000000000000000E+000,1.6658210793754432E+002
0.248,1.4999999999999999E-001,3.5528217560995212E-001,0.0000000000000000E+000,1.7129885828499101E+002
0.249,1.4999999999999999E-001,3.7144469111006673E-001,0.0000000000000000E+000,1.7966735281025615E+002
0.25,1.4999999999999999E-001,3.8522896171680854E-001,0.0000000000000000E+000,1.9140080154628220E+002
0.251,1.4999999999999999E-001,3.9526007984954481E-001,0.0000000000000000E+000,2.0413054599625286E+002
0.252,1.4999999999999999E-001,3.9985554795210254E-001,0.0000000000000000E+000,2.1171207101201588E+002
0.253,1.4999999999999999E-001,3.9791212294873413E-001,0.0000000000000000E+000,2.0874280259251105E+002
0.254,1.4999999999999999E-001,3.8987601137863215E-001,0.0000000000000000E+000,1.9850286947176474E+002
0.255,1.4999999999999999E-001,3.7723838863707737E-001,0.0000000000000000E+000,1.8744638048688711E+002
0.256,1.4999999999999999E-001,3.6147899687421736E-001,0.0000000000000000E+000,1.7920534608892154E+002
0.257,1.4999999999999999E-001,3.4369032832393714E-001,0.0000000000000000E+000,1.7473962781537665E+002
0.258,1.4999999999999999E-001,3.2465837766890249E-001,0.0000000000000000E+000,1.7406574069052459E+002
0.259,1.4999999999999999E-001,3.0501494910734167E-001,0.0000000000000000E+000,1.7704329618009118E+002
0.26,1.4999999999999999E-001,2.8535647407874709E-001,0.0000000000000000E+000,1.8352399285233872E+002
0.261,1.4999999999999999E-001,2.6632172375168939E-001,0.0000000000000000E+000,1.9320221903469914E+002
0.262,1.4999999999999999E-001,2.4862124326100082E-001,0.0000000000000000E+000,2.0530589747363092E+002
0.263,1.4999999999999999E-001,2.3299501792627722E-001,0.0000000000000000E+000,2.1835523433377946E+002
0.264,1.4999999999999999E-001,2.2008847690807443E-001,0.0000000000000000E+000,2.3040576650591851E+002
0.265,1.4999999999999999E-001,2.1031001899352458E-001,0.0000000000000000E+000,2.3985235817445724E+002
0.266,1.4999999999999999E-001,2.0379010895536420E-001,0.0000000000000000E+000,2.4604238156450685E+002
0.267,1.4999999999999999E-001,2.0048108447284546E-001,0.0000000000000000E+000,2.4908306780529443E+002
0.268,1.4999999999999999E-001,2.0030738514044089E-001,0.0000000000000000E+000,2.4924018941654651E+002
0.269,1.4999999999999999E-001,2.0326408998098039E-001,0.0000000000000000E+000,2.4654822619818987E+002
