"time","revolute1.w","revolute2.w"
1.5481,5.2195065944843249E+000,5.9009208986721950E-001
1.5541,5.2582422987167083E+000,1.3107365240685245E-001
1.5601,5.2827708130282502E+000,-3.1351557811825159E-001
1.5661,5.2943038772879509E+000,-7.4374525511201861E-001
1.5721,5.2940699210127713E+000,-1.1596977537339848E+000
1.5781,5.2832970498543848E+000,-1.5614863264174812E+000
1.5841,5.2631971378085662E+000,-1.9492688048691094E+000
1.5901,5.2349515569492002E+000,-2.3232572860254024E+000
1.5961,5.1996989047906750E+000,-2.6837242547036437E+000
1.6021,5.1585249302896541E+000,-3.0310056042793678E+000
1.6081,5.1124547190827485E+000,-3.3655010141678137E+000
1.6141,5.0624470804974164E+000,-3.6876721265356678E+000
1.6201,5.0093909845949840E+000,-3.9980389333362139E+000
1.6261,4.9541038264690185E+000,-4.2971747382923660E+000
1.6321,4.8973312450959057E+000,-4.5856999972763060E+000
1.6381,4.8397481918789902E+000,-4.8642752651983772E+000
1.6441,4.7819609254710889E+000,-5.1335933882296700E+000
1.6501,4.7245095998173907E+000,-5.3943709763862513E+000
1.6561,4.6678711066867802E+000,-5.6473390715023610E+000
1.6621,4.6124618272369924E+000,-5.8932327862982756E+000
1.6681,4.5586399344408326E+000,-6.1327795269401797E+000
1.6741,4.5067068647565414E+000,-6.3666852181325737E+000
1.6801,4.4569075389965249E+000,-6.5956177195893106E+000
1.6861,4.4094288556662864E+000,-6.8201863498016708E+000
1.6921,4.3643959039084486E+000,-7.0409161156909388E+000
1.6981,4.3218652505303741E+000,-7.2582148938734523E+000
1.7041,4.2818145572551156E+000,-7.4723314515758332E+000
1.7101,4.2441277054531641E+000,-7.6833019042850283E+000
1.7161,4.2085745958029186E+000,-7.8908821255793482E+000
1.7221,4.1747849383924462E+000,-8.0944640094069431E+000
1.7281,4.1422158008970387E+000,-8.2929747621149303E+000
1.7341,4.1101136577433106E+000,-8.4847612117268429E+000
1.7401,4.0774734690984644E+000,-8.6674663096101501E+000
1.7461,4.0430002094356778E+000,-8.8379134331245375E+000
1.7521,4.0050823824566004E+000,-8.9920261413414906E+000
1.7581,3.9617919844715366E+000,-9.1248254728657692E+000
1.7641,3.9109296107730382E+000,-9.2305593009894533E+000
1.7701,3.8501338885382315E+000,-9.3030197044836740E+000
1.7761,3.7770668807436709E+000,-9.3360821530875544E+000
1.7821,3.6896681240973752E+000,-9.3244444846037045E+000
1.7881,3.5864411373461906E+000,-9.2644588942915611E+000
1.7941,3.4667079778126881E+000,-9.1548672240113493E+000
1.8001,3.3307571605144930E+000,-8.9972201653327701E+000
1.8061,3.1798316528662118E+000,-8.7958248095197185E+000
1.8121,3.0159529790503825E+000,-8.5572109732500437E+000
1.8181,2.8416312202672329E+000,-8.2892652345296067E+000
1.8241,2.6595410515845939E+000,-8.0002703816616876E+000
1.8301,2.4722390116476252E+000,-7.6980721644955308E+000
1.8361,2.2819668782225047E+000,-7.3895046360759959E+000
1.8421,2.0905505349319395E+000,-7.0801000458519274E+000
1.8481,1.8993785119874982E+000,-6.7740348635193444E+000
1.8541,1.7094339632816986E+000,-6.4742331547461429E+000
1.8601,1.5213547080127974E+000,-6.1825516129532803E+000
1.8661,1.3355022852955367E+000,-5.8999896708725066E+000
1.8721,1.1520282227117054E+000,-5.6268898443520783E+000
1.8781,9.7093161749845247E-001,-5.3631110496099614E+000
1.8841,7.9210607230593777E-001,-5.1081693502004910E+000
1.8901,6.1537626859674799E-001,-4.8613472175015673E+000
1.8961,4.4052550860830553E-001,-4.6217754622613070E+000
1.9021,2.6731588303305348E-001,-4.3884929271734343E+000
1.9081,9.5502667873181638E-002,-4.1604888410526346E+000
1.9141,-7.5155665601898389E-002,-3.9367320607455163E+000
1.9201,-2.4489070975717425E-001,-3.7161906214563349E+000
1.9261,-4.1391978372816696E-001,-3.4978442530403782E+000
