"Time [s]","clutch1.phi_rel [rad]","clutch1.w_rel [rad/s]","clutch2.phi_rel [rad]","clutch2.w_rel [rad/s]","clutch3.phi_rel [rad]","clutch3.w_rel [rad/s]","freqHz [Hz]","J1_phi [rad]","J1.w [rad/s]","T2 [s]"
0.142652179300345,-1.27882575427626,-7.55311487779756,-0.10148085445521,-1.41899478631237,0,0,0.2,1.38030660873147,8.97210966410993,0.4
0.143652179300345,-1.28636414496115,-7.52366649199076,-0.102904769267994,-1.42883483925502,0,0,0.2,1.38926891422915,8.95250133124578,0.4
0.144652179300345,-1.29387305839366,-7.49416037301542,-0.104338523010561,-1.43867264587937,0,0,0.2,1.39821158140422,8.93283301889479,0.4
0.145652179300345,-1.3013524417069,-7.46460625346432,-0.105782113428826,-1.44850819065017,0,0,0.2,1.40713455513573,8.91311444411449,0.4
0.146652179300345,-1.30880225179251,-7.43501391775824,-0.107235538253169,-1.45834145803575,0,0,0.2,1.41603779004568,8.89335537579399,0.4
0.147652179300345,-1.31622245534765,-7.40539319252047,-0.108698795198441,-1.46817243250805,0,0,0.2,1.42492125054609,8.87356562502851,0.4
0.148652179300345,-1.32361302891237,-7.37575393690978,-0.110171881963966,-1.4780010985426,0,0,0.2,1.43378491087633,8.85375503545238,0.4
0.149652179300345,-1.33097395889728,-7.34610603292118,-0.111654796233547,-1.48782744061861,0,0,0.2,1.44262875513083,8.83393347353979,0.4
0.150652179300346,-1.33830524160157,-7.31645937566419,-0.113147535675465,-1.49765144321895,0,0,0.2,1.45145277727704,8.81411081888314,0.4
0.151652179300346,-1.34560688322122,-7.28682386362812,-0.11465009794249,-1.50747309083016,0,0,0.2,1.46025698116371,8.79429695445828,0.4
0.152652179300346,-1.35287889984751,-7.25720938894404,-0.116162480671876,-1.51729236794253,0,0,0.2,1.46904138051938,8.77450175688656,0.4
0.153652179300346,-1.36012131745581,-7.22762582765297,-0.117684681485373,-1.52710925905008,0,0,0.2,1.47780599894118,8.75473508670305,0.4
0.154652179300346,-1.36733417188463,-7.19808302999005,-0.119216697989223,-1.53692374865059,0,0,0.2,1.48655086987385,8.73500677864065,0.4
0.155652179300346,-1.37451750880497,-7.16859081069402,-0.120758527774171,-1.54673582124566,0,0,0.2,1.49527603657914,8.71532663193968,0.4
0.156652179300346,-1.38167138367999,-7.13915893935185,-0.122310168415464,-1.55654546134067,0,0,0.2,1.50398155209546,8.69570440069252,0.4
0.157652179300346,-1.38879586171506,-7.10979713078783,-0.123871617472857,-1.56635265344487,0,0,0.2,1.51266747918792,8.6761497842327,0.4
0.158652179300346,-1.39589101779821,-7.08051503550677,-0.125442872490615,-1.57615738207136,0,0,0.2,1.52133389028883,8.65667241757813,0.4
0.159652179300346,-1.40295693643106,-7.05132223020062,-0.12702393099752,-1.58595963173714,0,0,0.2,1.52998086742858,8.63728186193775,0.4
0.160652179300346,-1.40999371165033,-7.02222820832795,-0.12861479050687,-1.59575938696311,0,0,0.2,1.5386085021572,8.61798759529106,0.4
0.161652179300346,-1.41700144693988,-6.99324237077554,-0.130215448516489,-1.60555663227413,0,0,0.2,1.54721689545637,8.59879900304968,0.4
0.162652179300346,-1.42398025513357,-6.96437401661137,-0.131825902508725,-1.61535135219901,0,0,0.2,1.5558061576423,8.57972536881038,0.4
0.163652179300346,-1.43093025830885,-6.93563233393801,-0.13344614995046,-1.62514353127054,0,0,0.2,1.56437640825931,8.56077586520855,0.4
0.164652179300346,-1.43785158767125,-6.90702639085555,-0.135076188293108,-1.63493315402555,0,0,0.2,1.57292777596435,8.5419595448811,0.4
0.165652179300346,-1.44474438342994,-6.87856512654301,-0.136716014972623,-1.64472020500487,0,0,0.2,1.58146039840257,8.52328533154788,0.4
0.166652179300346,-1.45160879466445,-6.85025734246684,-0.138365627409503,-1.65450466875343,0,0,0.2,1.58997442207395,8.50476201122027,0.4
0.167652179300346,-1.45844497918255,-6.82211169372544,-0.140025023008789,-1.66428652982021,0,0,0.2,1.59847000219134,8.48639822354565,0.4
0.168652179300346,-1.46525310336968,-6.79413668053804,-0.141694199160079,-1.67406577275832,0,0,0.2,1.60694730252976,8.46820245329637,0.4
0.169652179300346,-1.47203334202989,-6.7663406398865,-0.143373153237521,-1.68384238212501,0,0,0.2,1.61540649526741,8.45018302201151,0.4
0.170652179300346,-1.47878587821849,-6.73873173731806,-0.145061882599824,-1.69361634248167,0,0,0.2,1.62384776081832,8.43234807979974,0.4
0.171652179300346,-1.48551090306661,-6.71131795891745,-0.146760384590262,-1.70338763839389,0,0,0.2,1.63227128765687,8.41470559731134,0.4
0.172652179300346,-1.4922086155978,-6.68410710345593,-0.148468656536674,-1.71315625443145,0,0,0.2,1.64067727213447,8.39726335788739,0.4
0.173652179300346,-1.49887922253689,-6.6571067747253,-0.150186695751474,-1.72292217516838,0,0,0.2,1.64906591828836,8.38002894989368,0.4
0.174652179300346,-1.50552293811128,-6.63032437406424,-0.15191449953165,-1.73268538518296,0,0,0.2,1.65743743764293,8.3630097592472,0.4
0.175652179300346,-1.51213998384486,-6.60376709308449,-0.153652065158771,-1.74244586905774,0,0,0.2,1.66579204900363,8.34621296214223,0.4
0.176652179300346,-1.5187305883447,-6.57744190660397,-0.155399389898989,-1.75220361137959,0,0,0.2,1.67412997824369,8.32964551798356,0.4
0.177652179300346,-1.5252949870809,-6.55135556579388,-0.157156471003049,-1.76195859673969,0,0,0.2,1.68245145808395,8.31331416253357,0.4
