"time","yRising","yFalling","yEither"
4.361,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.381,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.401,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.421,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.441,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.461,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.481,2.6319635458259255E-001,5.5808275137703534E-001,5.5808275137703534E-001
4.501,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.521,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.541,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.561,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.581,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.601,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.621,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.641,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.661,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.681,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.701,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.721,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.741,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.761,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.781,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
4.801,-9.9277081528639899E-001,5.5808275137703534E-001,-9.9277081528639899E-001
