"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
6.62,5.1720626579802076E+000,2.0943428399799537E+000,-1.2984924000011334E+001,-1.4011515000011137E+001
6.64,4.9105002779798932E+000,1.8122486399796360E+000,-1.3181124000011403E+001,-1.4207715000011206E+001
6.66,4.6450138979795765E+000,1.5262304399793156E+000,-1.3377324000011471E+001,-1.4403915000011274E+001
6.68,4.3756035179792558E+000,1.2362882399789927E+000,-1.3573524000011540E+001,-1.4600115000011343E+001
6.7,4.1022691379789338E+000,9.4242203997866714E-001,-1.3769724000011609E+001,-1.4796315000011411E+001
6.72,3.8250107579786081E+000,6.4463183997833895E-001,-1.3965924000011677E+001,-1.4992515000011480E+001
6.74,3.5438283779782802E+000,3.4291763997800784E-001,-1.4162124000011746E+001,-1.5188715000011548E+001
6.76,3.2587219979779496E+000,3.7279439977674175E-002,-1.4358324000011814E+001,-1.5384915000011617E+001
6.78,2.9696916179776163E+000,1.9519873875021296E-001,-1.4554524000011883E+001,1.1393988750008662E+001
6.8,2.6767372379772802E+000,4.2121461375046104E-001,-1.4750724000011951E+001,1.1197788750008593E+001
6.82,2.3798588579769411E+000,6.4330648875070640E-001,-1.4946924000012020E+001,1.1001588750008525E+001
6.84,2.0790564779765996E+000,8.6147436375094921E-001,-1.5143124000012088E+001,1.0805388750008456E+001
6.86,1.7743300979762557E+000,1.0757182387511894E+000,-1.5339324000012157E+001,1.0609188750008387E+001
6.88,1.4656797179759089E+000,1.2860381137514267E+000,-1.5535524000012225E+001,1.0412988750008319E+001
6.9,1.1531053379755596E+000,1.4924339887516613E+000,-1.5731724000012294E+001,1.0216788750008250E+001
6.92,8.3660695797520712E-001,1.6949058637518934E+000,-1.5927924000012363E+001,1.0020588750008182E+001
6.94,5.1618457797485229E-001,1.8934537387521226E+000,-1.6124124000012408E+001,9.8243887500081133E+000
6.96,1.9183819797449547E-001,2.0880776137523491E+000,-1.6320324000012441E+001,9.6281887500080447E+000
