"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
3.801,1.7906616337218213E+000,4.4118576252636483E+000,1.7906616337218213E+000,2.2408786996079535E+001,1.0020963199499085E-001,-1.5902423697318357E+000
3.821,1.7782592564946522E+000,4.4475535570415490E+000,1.7782592564946522E+000,2.2845383856288532E+001,8.5938589832923309E-002,-1.6063820768288020E+000
3.841,1.7655455859082059E+000,4.4829984756365757E+000,1.7655455859082059E+000,2.3291049762056641E+001,7.1641927751942378E-002,-1.6222617304043165E+000
3.861,1.7525257072612017E+000,4.5181862032865512E+000,1.7525257072612017E+000,2.3745974071008032E+001,5.7325190792229870E-002,-1.6378753256767375E+000
3.881,1.7392048283315034E+000,4.5531106651022464E+000,1.7392048283315034E+000,2.4210349860158193E+001,4.2993935459576554E-002,-1.6532169574123456E+000
3.901,1.7255882772930733E+000,4.5877658914972610E+000,1.7255882772930733E+000,2.4684373998557138E+001,2.8653727434784157E-002,-1.6682808224235002E+000
3.921,1.7116815005847750E+000,4.6221460205757703E+000,1.7116815005847750E+000,2.5168247221441835E+001,1.4310139280746360E-002,-1.6830612220232772E+000
3.941,1.6974900607318710E+000,4.6562453004772104E+000,1.6974900607318710E+000,2.5662174205929453E+001,-3.1251851901347469E-005,-1.6975525644356684E+000
3.961,1.6830196341210859E+000,4.6900580916769394E+000,1.6830196341210859E+000,2.6166363648283337E+001,-1.4364866519671126E-002,-1.7117493671604216E+000
3.981,1.6682760087301265E+000,4.7235788692419813E+000,1.6682760087301265E+000,2.6681028342784568E+001,-2.8685125280759421E-002,-1.7256462592916386E+000
4.001,1.6532650818125707E+000,4.7568022250409188E+000,1.6532650818125707E+000,2.7206385262242293E+001,-4.2986450988338400E-002,-1.7392379837892409E+000
4.021,1.6379928575390359E+000,4.7897228699070844E+000,1.6379928575390359E+000,2.7742655640177055E+001,-5.7263271081714119E-002,-1.7525193997024573E+000
4.041,1.6224654445956119E+000,4.8223356357541274E+000,1.6224654445956119E+000,2.8290065054710777E+001,-7.1510019874432035E-002,-1.7654854843444685E+000
4.061,1.6066890537404452E+000,4.8546354776432068E+000,1.6066890537404452E+000,2.8848843514200812E+001,-8.5721140838495594E-002,-1.7781313354174286E+000
4.081,1.5906699953195296E+000,4.8866174758009002E+000,1.5906699953195296E+000,2.9419225544651912E+001,-9.9891088883748619E-002,-1.7904521730870193E+000
4.101,1.5744146767426495E+000,4.9182768375870314E+000,1.5744146767426495E+000,3.0001450278944027E+001,-1.1401433263156262E-001,-1.8024433420057662E+000
4.121,1.5579295999204996E+000,4.9496088994116789E+000,1.5579295999204996E+000,3.0595761547912964E+001,-1.2808535668193552E-001,-1.8141003132843618E+000
4.141,1.5412213586640111E+000,4.9806091286005358E+000,1.5412213586640111E+000,3.1202407973322423E+001,-1.4209866387311715E-001,-1.8254186864102366E+000
4.161,1.5242966360469135E+000,5.0112731252079312E+000,1.5242966360469135E+000,3.1821643062765968E+001,-1.5604877753287899E-001,-1.8363941911126618E+000
4.181,1.5071622017325932E+000,5.0415966237767371E+000,1.5071622017325932E+000,3.2453725306539035E+001,-1.6993024372054857E-001,-1.8470226891736805E+000
4.201,1.4898249092663201E+000,5.0715754950445042E+000,1.4898249092663201E+000,3.3098918276521005E+001,-1.8373763345893293E-001,-1.8573001761841756E+000
4.221,1.4722916933339196E+000,5.1012057475951114E+000,1.4722916933339196E+000,3.3757490727109108E+001,-1.9746554495525748E-001,-1.8672227832444239E+000
4.241,1.4545695669879923E+000,5.1304835294552698E+000,1.4545695669879923E+000,3.4429716698245883E+001,-2.1110860581025309E-001,-1.8767867786084875E+000
4.261,1.4366656188427838E+000,5.1594051296352736E+000,1.4366656188427838E+000,3.5115875620583282E+001,-2.2466147521452598E-001,-1.8859885692718248E+000
4.281,1.4185870102388367E+000,5.1879669796133356E+000,1.4185870102388367E+000,3.5816252422827112E+001,-2.3811884613135159E-001,-1.8948247025015283E+000
