"time","h","v","der(h)","der(v)","v_new","e","g","_D_whenCondition1"
0.281475,6.1169644140624757E-01,-2.7612697500000238E+00,-2.7612697500000238E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2817,6.1107515571249760E-01,-2.7634770000000235E+00,-2.7634770000000235E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.281925,6.1045337338749761E-01,-2.7656842500000232E+00,-2.7656842500000232E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28215,6.0983109443124772E-01,-2.7678915000000228E+00,-2.7678915000000228E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.282375,6.0920831884374782E-01,-2.7700987500000225E+00,-2.7700987500000225E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2826,6.0858504662499791E-01,-2.7723060000000221E+00,-2.7723060000000221E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.282825,6.0796127777499798E-01,-2.7745132500000218E+00,-2.7745132500000218E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28305,6.0733701229374804E-01,-2.7767205000000215E+00,-2.7767205000000215E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.283275,6.0671225018124808E-01,-2.7789277500000211E+00,-2.7789277500000211E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2835,6.0608699143749811E-01,-2.7811350000000208E+00,-2.7811350000000208E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.283725,6.0546123606249813E-01,-2.7833422500000204E+00,-2.7833422500000204E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28395,6.0483498405624825E-01,-2.7855495000000201E+00,-2.7855495000000201E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.284175,6.0420823541874835E-01,-2.7877567500000198E+00,-2.7877567500000198E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2844,6.0358099014999844E-01,-2.7899640000000194E+00,-2.7899640000000194E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.284625,6.0295324824999852E-01,-2.7921712500000191E+00,-2.7921712500000191E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28485,6.0232500971874858E-01,-2.7943785000000188E+00,-2.7943785000000188E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.285075,6.0169627455624863E-01,-2.7965857500000184E+00,-2.7965857500000184E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2853,6.0106704276249867E-01,-2.7987930000000181E+00,-2.7987930000000181E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.285525,6.0043731433749870E-01,-2.8010002500000177E+00,-2.8010002500000177E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28575,5.9980708928124871E-01,-2.8032075000000174E+00,-2.8032075000000174E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.285975,5.9917636759374882E-01,-2.8054147500000171E+00,-2.8054147500000171E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2862,5.9854514927499891E-01,-2.8076220000000167E+00,-2.8076220000000167E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.286425,5.9791343432499899E-01,-2.8098292500000164E+00,-2.8098292500000164E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28665,5.9728122274374906E-01,-2.8120365000000160E+00,-2.8120365000000160E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.286875,5.9664851453124912E-01,-2.8142437500000157E+00,-2.8142437500000157E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2871,5.9601530968749916E-01,-2.8164510000000154E+00,-2.8164510000000154E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.287325,5.9538160821249919E-01,-2.8186582500000150E+00,-2.8186582500000150E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28755,5.9474741010624921E-01,-2.8208655000000147E+00,-2.8208655000000147E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.287775,5.9411271536874932E-01,-2.8230727500000143E+00,-2.8230727500000143E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.288,5.9347752399999942E-01,-2.8252800000000140E+00,-2.8252800000000140E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.288225,5.9284183599999951E-01,-2.8274872500000137E+00,-2.8274872500000137E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28845,5.9220565136874959E-01,-2.8296945000000133E+00,-2.8296945000000133E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.288675,5.9156897010624965E-01,-2.8319017500000130E+00,-2.8319017500000130E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2889,5.9093179221249970E-01,-2.8341090000000126E+00,-2.8341090000000126E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.289125,5.9029411768749973E-01,-2.8363162500000123E+00,-2.8363162500000123E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.28935,5.8965594653124975E-01,-2.8385235000000120E+00,-2.8385235000000120E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.289575,5.8901727874374987E-01,-2.8407307500000116E+00,-2.8407307500000116E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2898,5.8837811432499998E-01,-2.8429380000000113E+00,-2.8429380000000113E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
