"time","spring_length_out"
6.46,8.1428531718299450E+02
6.47,8.2177935601381364E+02
6.48,8.2910789680521475E+02
6.49,8.3625183982357385E+02
6.5,8.4319262849309973E+02
6.51,8.4991229742310418E+02
6.52,8.5639351875017201E+02
6.53,8.6261964663214781E+02
6.54,8.6857475987714315E+02
6.55,8.7424370225176494E+02
6.56,8.7961212107012477E+02
6.57,8.8466650329838342E+02
6.58,8.8939420925606737E+02
6.59,8.9378350403562843E+02
6.6,8.9782358641437554E+02
6.61,9.0150461511114031E+02
6.62,9.0481773247474462E+02
6.63,9.0775508551222038E+02
6.64,9.1030984408546806E+02
6.65,9.1247621649105918E+02
6.66,9.1424946211474264E+02
6.67,9.1562590118435708E+02
6.68,9.1660292180306305E+02
6.69,9.1717898406574932E+02
6.7,9.1735362130606404E+02
6.71,9.1712743847838397E+02
6.72,9.1650210768669331E+02
6.73,9.1548036087989226E+02
6.74,9.1406597974057263E+02
6.75,9.1226378280171082E+02
6.76,9.1007960983301734E+02
6.77,9.0752030354586338E+02
6.78,9.0459368867271360E+02
6.79,9.0130854848385741E+02
6.8,8.9767459881088371E+02
6.81,8.9370245965281515E+02
6.82,8.8940362434501208E+02
6.83,8.8479042682246040E+02
6.84,8.7987600636725620E+02
6.85,8.7467427036499384E+02
6.86,8.6919985522471302E+02
6.87,8.6346808539425922E+02
6.88,8.5749493066985815E+02
6.89,8.5129696188753030E+02
6.9,8.4489130516399291E+02
6.91,8.3829559471660309E+02
6.92,8.3152792449875346E+02
6.93,8.2460679872757396E+02
6.94,8.1755108145205122E+02
6.95,8.1037994529240677E+02
6.96,8.0311281947987447E+02
6.97,7.9576933737376783E+02
6.98,7.8836915715537134E+02
6.99,7.8093239957701621E+02
7,7.7347907969519713E+02
7.01,7.6602911543110167E+02
7.02,7.5860236210702647E+02
7.03,7.5121855967336387E+02
7.04,7.4389728038535759E+02
7.05,7.3665787706794026E+02
7.06,7.2951943210500474E+02
7.07,7.2250014836976197E+02
7.08,7.1561868294471583E+02
7.09,7.0889313062372935E+02
7.1,7.0234100887564045E+02
7.11,6.9597932600196680E+02
7.12,6.8982453714854410E+02
7.13,6.8389250190480573E+02
7.14,6.7819844360690331E+02
7.15,6.7275691038821992E+02
7.16,6.6758173832346210E+02
7.17,6.6268601629882176E+02
7.18,6.5808205317968100E+02
7.19,6.5378134704621925E+02
7.2,6.4979455666248919E+02
7.21,6.4613147534691211E+02
7.22,6.4280100716043592E+02
7.23,6.3981114550255131E+02
7.24,6.3716895424681434E+02
7.25,6.3488055145609144E+02
7.26,6.3295109539120745E+02
7.27,6.3138477348694346E+02
7.28,6.3018479375692982E+02
7.29,6.2935337882914121E+02
7.3,6.2889176264744879E+02
7.31,6.2880018981823446E+02
7.32,6.2907791759676127E+02
7.33,6.2972322050095590E+02
7.34,6.3073339753330015E+02
7.35,6.3210478198461271E+02
7.36,6.3383275378670066E+02
7.37,6.3591175437413858E+02
7.38,6.3833530400885854E+02
7.39,6.4109602151478964E+02
7.4,6.4418564636349174E+02
7.41,6.4759506304563240E+02
7.42,6.5131432765721502E+02
7.43,6.5533269671895437E+02
7.44,6.5963865773251234E+02
7.45,6.6421996204350285E+02
7.46,6.6906365951848920E+02
7.47,6.7415613491386398E+02
7.48,6.7948314594842509E+02
7.49,6.8502986295633400E+02
7.5,6.9078090997000027E+02
7.51,6.9672040720604105E+02
7.52,7.0283201474154953E+02
7.53,7.0909897731047363E+02
7.54,7.1550417008580655E+02
7.55,7.2203014532850159E+02
7.56,7.2865917978539176E+02
7.57,7.3537332267446754E+02
7.58,7.4215444413856187E+02
7.59,7.4898441756413490E+02
7.6,7.5584461360854789E+02
7.61,7.6271662992246991E+02
7.62,7.6958211132839904E+02
7.63,7.7642276951542885E+02
7.64,7.8322043162253658E+02
7.65,7.8995708838317569E+02
7.66,7.9661494170397896E+02
7.67,8.0317645155223818E+02
7.68,8.0962491654194355E+02
7.69,8.1594318303361706E+02
7.7,8.2211464913420900E+02
7.71,8.2812325050308141E+02
7.72,8.3395339992434901E+02
7.73,8.3959002758535007E+02
7.74,8.4501861987927964E+02
7.75,8.5022525661969644E+02
7.76,8.5519664658808210E+02
7.77,8.5992016131386163E+02
7.78,8.6438386685684725E+02
7.79,8.6857655393823666E+02
7.8,8.7248776583179756E+02
7.81,8.7610782420890519E+02
7.82,8.7942785291268444E+02
7.83,8.8243979948884873E+02
7.84,8.8513645441130393E+02
7.85,8.8751146809634565E+02
7.86,8.8955936548885882E+02
7.87,8.9127555850620683E+02
7.88,8.9265635568797347E+02
7.89,8.9369896973218351E+02
7.9,8.9440152251605627E+02
7.91,8.9476304767909619E+02
