"time","revolute1.w","revolute2.w"
2.364,-1.9737873847956642E+000,-9.5149875870417961E+000
2.37,-1.5818594747655343E+000,-1.0427124217551594E+001
2.376,-1.1862588433416974E+000,-1.1346058674981514E+001
2.382,-7.9682048918386705E-001,-1.2249753748570461E+001
2.388,-4.2836534750789479E-001,-1.3102043208315054E+001
2.394,-1.0120093507764141E-001,-1.3850791632317582E+001
2.4,1.6045966126476288E-001,-1.4431882356914393E+001
2.406,3.3336477235984713E-001,-1.4782601109283739E+001
2.412,4.0261830225027279E-001,-1.4862409957765896E+001
2.418,3.6773052126366801E-001,-1.4670120741799797E+001
2.424,2.4292471427618376E-001,-1.4244847294757284E+001
2.43,5.1438338887778871E-002,-1.3649959320627527E+001
2.436,-1.8199257364642954E-001,-1.2952018779790123E+001
2.442,-4.3635308717294663E-001,-1.2206390374209544E+001
2.448,-6.9621958318092825E-001,-1.1452396371467607E+001
2.454,-9.5138779603897816E-001,-1.0714740943692679E+001
2.46,-1.1956425641061823E+000,-1.0007225248054898E+001
2.466,-1.4254966583485240E+000,-9.3364241865721880E+000
2.472,-1.6392032251112332E+000,-8.7045041380936539E+000
2.478,-1.8360734903031992E+000,-8.1111307389782361E+000
2.484,-2.0160373374067104E+000,-7.5546694570629018E+000
2.49,-2.1793726036857541E+000,-7.0329035049536834E+000
2.496,-2.3265436472852676E+000,-6.5434442979751575E+000
2.502,-2.4581078278821225E+000,-6.0839540862139421E+000
2.508,-2.5746630375291262E+000,-5.6522571888826620E+000
2.514,-2.6768194738353555E+000,-5.2463868759081143E+000
2.52,-2.7651853728289342E+000,-4.8645961997456828E+000
2.526,-2.8403605100875593E+000,-4.5053495304974849E+000
2.532,-2.9029337974970200E+000,-4.1673045674859930E+000
2.538,-2.9534828383371292E+000,-3.8492904321100161E+000
2.544,-2.9925742334082668E+000,-3.5502849780821539E+000
2.55,-3.0207639908059716E+000,-3.2693930038236236E+000
2.556,-3.0385977258215306E+000,-3.0058262060556902E+000
2.562,-3.0466105330566489E+000,-2.7588852269707536E+000
2.568,-3.0453265236568274E+000,-2.5279438728772679E+000
2.574,-3.0352580793141022E+000,-2.3124354325411351E+000
2.58,-3.0169049015521150E+000,-2.1118409467462755E+000
2.586,-2.9907529423677195E+000,-1.9256792461596393E+000
2.592,-2.9572732984969847E+000,-1.7534985642749259E+000
2.598,-2.9169211414559055E+000,-1.5948695353598894E+000
2.604,-2.8701347423234909E+000,-1.4493793977090466E+000
2.61,-2.8173346360703753E+000,-1.3166272364871066E+000
2.616,-2.7589229564087985E+000,-1.1962201159546226E+000
2.622,-2.6952829594553225E+000,-1.0877699667064173E+000
2.628,-2.6267787434099374E+000,-9.9089110905132494E-001
2.634,-2.5537551621756496E+000,-9.0519830843930638E-001
2.64,-2.4765379234152021E+000,-8.3030527268687204E-001
2.646,-2.3954338558975516E+000,-7.6582351354678746E-001
2.652,-2.3107313269845782E+000,-7.1136150685153288E-001
2.658,-2.2227007885640511E+000,-6.6652409600442686E-001
2.664,-2.1315954284435135E+000,-6.3091209299342832E-001
2.67,-2.0376519039723195E+000,-6.0412203937398412E-001
2.676,-1.9410911352543763E+000,-5.8574609683725032E-001
2.682,-1.8421191365651246E+000,-5.7537204309035639E-001
2.688,-1.7409278663261514E+000,-5.7258335387965631E-001
2.694,-1.6376960780737762E+000,-5.7695935615041993E-001
2.7,-1.5325901571608893E+000,-5.8807544063054806E-001
2.706,-1.4257649303520248E+000,-6.0550332463285250E-001
2.712,-1.3173644379277814E+000,-6.2881135767717289E-001
2.718,-1.2075226603412543E+000,-6.5756486373148415E-001
2.724,-1.0963641938164588E+000,-6.9132651455389904E-001
2.73,-9.8400487150979665E-001,-7.2965672887963395E-001
2.736,-8.7055232894426049E-001,-7.7211409213218507E-001
2.742,-7.5610651435476206E-001,-8.1825579103725521E-001
2.748,-6.4076014634119927E-001,-8.6763805706852892E-001
2.754,-5.2459912280886900E-001,-9.1981661213792898E-001
2.76,-4.0770288658332010E-001,-9.7434710943474045E-001
2.766,-2.9014475432212022E-001,-1.0307855618853858E+000
2.772,-1.7199221641571694E-001,-1.0886887504076801E+000
2.778,-5.3307216482452076E-002,-1.1476146040196693E+000
