"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0215,1.0000000000000000E+000,4.8739145072477208E+002,1.3241735969999348E+002,1.7749191950000579E+002,-3.0990927919999928E+002
0.0216,1.0000000000000000E+000,4.7994692611749798E+002,1.4119104539999361E+002,1.6938273990000590E+002,-3.1057378529999954E+002
0.0217,1.0000000000000000E+000,4.7202875178336080E+002,1.4982539259999339E+002,1.6110639990000632E+002,-3.1093179259999971E+002
0.0218,1.0000000000000000E+000,4.6928544215036379E+002,1.5831188029999353E+002,1.5267106740000645E+002,-3.1098294769999995E+002
0.0219,1.0000000000000000E+000,4.7735978606106374E+002,1.6664213319999365E+002,1.4408506690000655E+002,-3.1072720020000025E+002
0.022,1.0000000000000000E+000,4.8496303349383425E+002,1.7480793049999374E+002,1.3535687190000664E+002,-3.1016480240000038E+002
0.0221,1.0000000000000000E+000,4.9208768109874535E+002,1.8280121349999391E+002,1.2649509600000677E+002,-3.0929630950000069E+002
0.0222,1.0000000000000000E+000,4.9872669741642727E+002,1.9061409369999379E+002,1.1750848470000717E+002,-3.0812257840000098E+002
0.0223,1.0000000000000000E+000,5.0487353067791844E+002,1.9823886079999392E+002,1.0840590670000726E+002,-3.0664476750000119E+002
0.0224,1.0000000000000000E+000,5.1052211480454167E+002,2.0566799009999406E+002,9.9196345190007364E+001,-3.0486433530000141E+002
0.0225,1.0000000000000000E+000,5.1566687520779055E+002,2.1289414989999423E+002,8.9888888850007419E+001,-3.0278303880000163E+002
0.0226,1.0000000000000000E+000,5.2030273468921075E+002,2.1991020889999439E+002,8.0492723030007497E+001,-3.0040293200000195E+002
0.0227,1.0000000000000000E+000,5.2442511814030513E+002,2.2670924309999458E+002,7.1017120600007559E+001,-2.9772636370000208E+002
0.0228,1.0000000000000000E+000,5.2802995744243776E+002,2.3328454269999452E+002,6.1471432860007944E+001,-2.9475597550000242E+002
0.0229,1.0000000000000000E+000,5.3111369476676680E+002,2.3962961849999473E+002,5.1865080230007997E+001,-2.9149469870000274E+002
0.023,1.0000000000000000E+000,5.3367328707415311E+002,2.4573820879999491E+002,4.2207543030008040E+001,-2.8794575190000296E+002
0.0231,1.0000000000000000E+000,5.3570620831511883E+002,2.5160428529999510E+002,3.2508352080008073E+001,-2.8411263730000320E+002
