"time","y","z"
9.25,3.1287177362195155E-002,7.5627547760009450E-001
9.27,4.4648686914197051E-002,5.6027547760009500E-001
9.29,5.4090196466198955E-002,3.6427547760009510E-001
9.31,5.9611706018200858E-002,1.6827547760009504E-001
9.33,6.1213215570202754E-002,-2.7724522399905013E-002
9.35,5.8894725122204658E-002,-2.2372452239990506E-001
9.37,5.2656234674206555E-002,-4.1972452239990510E-001
9.39,4.2497744226208459E-002,-6.1572452239990483E-001
9.41,2.8419253778210366E-002,-8.1172452239990434E-001
9.43,1.0420763330212289E-002,-1.0077245223999038E+000
9.45,7.8524520242125324E-003,7.3129339179992836E-001
9.47,2.0714319860211099E-002,5.3529339179992885E-001
9.49,2.9656187696209677E-002,3.3929339179992885E-001
9.51,3.4678055532208249E-002,1.4329339179992878E-001
9.53,3.5779923368206824E-002,-5.2706608200071267E-002
9.55,3.2961791204205400E-002,-2.4870660820007132E-001
9.57,2.6223659040203975E-002,-4.4470660820007135E-001
9.59,1.5565526876202556E-002,-6.4070660820007097E-001
9.61,9.8739471220114132E-004,-8.3670660820007048E-001
9.63,9.4629207065019538E-003,4.6582995615005318E-001
9.65,1.7015519829503022E-002,2.6982995615005312E-001
9.67,2.0648118952504083E-002,7.3829956150053055E-002
