"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
5.3,4.4562566093159706E-001,0.0000000000000000E+000,6.1322674437820863E+000,4.4562566093159706E-001,9.9475058357680581E+001,-6.9082510474653103E-001,-1.8272758704246574E+000
5.32,4.2909229296535678E-001,0.0000000000000000E+000,6.1410142482119969E+000,4.2909229296535678E-001,1.0149595367619980E+002,-6.9351461137523074E-001,-1.8161215157158166E+000
5.34,4.1278728046992963E-001,0.0000000000000000E+000,6.1494326578907250E+000,4.1278728046992963E-001,1.0355800549488055E+002,-6.9592476430490746E-001,-1.8046368090797431E+000
5.36,3.9671714523291651E-001,0.0000000000000000E+000,6.1575273052999808E+000,3.9671714523291651E-001,1.0566204055124506E+002,-6.9805463825972647E-001,-1.7928264217523679E+000
5.38,3.8088831509414656E-001,0.0000000000000000E+000,6.1653029524220626E+000,3.8088831509414656E-001,1.0780890215321325E+002,-6.9990341930434097E-001,-1.7806951537028270E+000
5.4,3.6530712137462706E-001,0.0000000000000000E+000,6.1727644888351350E+000,3.6530712137462706E-001,1.0999945051577073E+002,-7.0147040518465043E-001,-1.7682479317439266E+000
5.42,3.4997979634409943E-001,0.0000000000000000E+000,6.1799169297574537E+000,3.4997979634409943E-001,1.1223456310448960E+002,-7.0275500562358673E-001,-1.7554898075912713E+000
5.44,3.3491247072821412E-001,0.0000000000000000E+000,6.1867654140413517E+000,3.3491247072821412E-001,1.1451513498603943E+002,-7.0375674257181609E-001,-1.7424259558718449E+000
5.46,3.2011117125632255E-001,0.0000000000000000E+000,6.1933152021177644E+000,3.2011117125632255E-001,1.1684207918582918E+002,-7.0447525041326287E-001,-1.7290616720828469E+000
5.48,3.0558181825086550E-001,0.0000000000000000E+000,6.1995716738921267E+000,3.0558181825086550E-001,1.1921632705292295E+002,-7.0491027612537716E-001,-1.7154023705016186E+000
5.5,2.9133022325932295E-001,0.0000000000000000E+000,6.2055403265924856E+000,2.9133022325932295E-001,1.2163882863237579E+002,-7.0506167939408948E-001,-1.7014535820475007E+000
5.52,2.7736208672967283E-001,0.0000000000000000E+000,6.2112267725706776E+000,2.7736208672967283E-001,1.2411055304513873E+002,-7.0492943268341135E-001,-1.6872209520964945E+000
5.54,2.6368299573028764E-001,0.0000000000000000E+000,6.2166367370574678E+000,2.6368299573028764E-001,1.2663248887568470E+002,-7.0451362125965866E-001,-1.6727102382496040E+000
