"time","J1.w","J2.w","J3.w","J4.w"
0.3091,7.6093747854047820E+000,3.0143295003803710E+000,3.0897569914868566E-034,0.0000000000000000E+000
0.3121,7.5718189914567153E+000,3.0420822825733129E+000,3.0897569914312473E-034,0.0000000000000000E+000
0.3151,7.5316826869221849E+000,3.0697919201056783E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3181,7.4890765655925211E+000,3.0974580191621799E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3211,7.4441336293595892E+000,3.1250801865463131E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3241,7.3970080111660286E+000,3.1526580296859352E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3271,7.3478736103892821E+000,3.1801911566388550E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3301,7.2969225527717239E+000,3.2076791760983898E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3331,7.2443634885666839E+000,3.2351216973989416E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3361,7.1904197440060473E+000,3.2625183305215351E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3391,7.1353273424971118E+000,3.2898686860993744E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3421,7.0793329131126246E+000,3.3171723754233660E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3451,7.0226915049383454E+000,3.3444290104476457E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3481,6.9656643266781346E+000,3.3716382037950985E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3511,6.9085164315798728E+000,3.3987995687628589E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3541,6.8515143682309780E+000,3.4259127193278092E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3571,6.7949238180751550E+000,3.4529772701520649E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3601,6.7390072406199044E+000,3.4799928365884498E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3631,6.6840215472360427E+000,3.5069590346859680E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3661,6.6302158241967017E+000,3.5338754811952531E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3691,6.5778291251662431E+000,3.5607417935740204E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3721,6.5270883527330419E+000,3.5875575899925032E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3751,6.4782062477897693E+000,3.6143224893388779E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3781,6.4313795046075359E+000,3.6410361112246790E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3811,6.3867870283345507E+000,3.6676980759902102E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3841,6.3445883503858518E+000,3.6943080047099350E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3871,6.3049222157891736E+000,3.7208655191978650E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3901,6.2679053550256718E+000,3.7473702420129325E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3931,6.2336314512667599E+000,3.7738217964643614E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3961,6.2021703121737985E+000,3.8002198066170108E+000,3.0897569914312469E-034,0.0000000000000000E+000
0.3991,6.1735672536118589E+000,3.8265638972967251E+000,3.0893553519278928E-034,0.0000000000000000E+000
0.4021,6.1478762992648779E+000,3.8318530578081198E+000,2.0999999999719569E-002,0.0000000000000000E+000
0.4051,6.1250733255771390E+000,3.8280872728209454E+000,5.0999999999716265E-002,0.0000000000000000E+000
0.4081,6.1051138423053892E+000,3.8242664412497858E+000,8.0999999999712954E-002,0.0000000000000000E+000
0.4111,6.0879430151477933E+000,3.8203901910307079E+000,1.1099999999970965E-001,0.0000000000000000E+000
0.4141,6.0734817486056389E+000,3.8164581508874034E+000,1.4099999999970633E-001,0.0000000000000000E+000
0.4171,6.0616273913307985E+000,3.8124699503364603E+000,1.7099999999970303E-001,0.0000000000000000E+000
0.4201,6.0522546505495205E+000,3.8084252196926327E+000,2.0099999999969972E-001,0.0000000000000000E+000
0.4231,6.0452167074460652E+000,3.8043235900740910E+000,2.3099999999969642E-001,0.0000000000000000E+000
0.4261,6.0403465236058773E+000,3.8001646934076652E+000,2.6099999999969309E-001,0.0000000000000000E+000
0.4291,6.0374583269222022E+000,3.7959481624340796E+000,2.9099999999968978E-001,0.0000000000000000E+000
0.4321,6.0363492637770477E+000,3.7916736307131655E+000,3.2099999999968648E-001,0.0000000000000000E+000
0.4351,6.0368012028316009E+000,3.7873407326290751E+000,3.5099999999968318E-001,0.0000000000000000E+000
0.4381,6.0385826744154762E+000,3.7829491033954770E+000,3.8099999999967987E-001,0.0000000000000000E+000
0.4411,6.0414509283005682E+000,3.7784983790607356E+000,4.1099999999967657E-001,0.0000000000000000E+000
0.4441,6.0451540915945667E+000,3.7739881965130917E+000,4.4099999999967326E-001,0.0000000000000000E+000
0.4471,6.0494334076004126E+000,3.7694181934858189E+000,4.7099999999966996E-001,0.0000000000000000E+000
0.4501,6.0540255357694157E+000,3.7647880085623697E+000,5.0099999999966660E-001,0.0000000000000000E+000
0.4531,6.0586648923334359E+000,3.7600972811815145E+000,5.3099999999966330E-001,0.0000000000000000E+000
0.4561,6.0630860108404558E+000,3.7553456516424708E+000,5.6099999999965999E-001,0.0000000000000000E+000
0.4591,6.0670259016412054E+000,3.7505327611100032E+000,5.9099999999965669E-001,0.0000000000000000E+000
0.4621,6.0702263893838708E+000,3.7456582516195374E+000,6.2099999999965338E-001,0.0000000000000000E+000
